,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S01007848,447,40,64,1,278,21,35,2,6
S01007849,413,85,121,0,135,41,25,6,0
S01007850,293,120,47,0,104,3,16,2,1
S01007851,479,159,136,2,72,90,13,4,3
S01007852,356,48,72,0,204,5,25,1,1
S01007853,413,40,39,0,161,114,52,4,3
S01007854,548,62,86,0,253,98,41,7,1
S01007855,310,36,53,1,128,12,68,9,3
S01007856,348,115,140,1,47,14,24,6,1
S01007857,233,23,30,1,9,163,5,1,1
S01007858,533,40,86,14,12,357,17,5,2
S01007859,246,8,30,0,6,190,12,0,0
S01007860,237,8,87,2,6,123,9,2,0
S01007861,254,77,91,0,74,2,10,0,0
S01007862,308,88,109,0,84,1,16,7,3
S01007863,441,66,79,1,271,1,22,1,0
S01007864,486,143,135,1,169,3,28,4,3
S01007865,229,20,192,1,6,1,7,1,1
S01007866,209,29,166,0,2,0,10,2,0
S01007867,195,43,93,0,9,8,34,2,6
S01007868,351,188,145,0,7,1,8,0,2
S01007869,362,127,177,2,6,0,44,4,2
S01007870,199,74,79,0,8,1,24,7,6
S01007871,285,36,32,0,208,3,5,1,0
S01007872,322,36,39,0,165,76,4,2,0
S01007873,295,95,94,1,50,21,24,5,5
S01007874,367,84,102,0,147,3,19,8,4
S01007875,242,73,95,0,53,11,7,2,1
S01007876,420,90,201,0,100,2,21,2,4
S01007877,336,88,106,0,105,22,11,0,4
S01007878,281,50,70,1,138,13,6,1,2
S01007879,320,65,89,0,67,80,15,2,2
S01007880,178,78,65,0,19,2,12,0,2
S01007881,244,49,57,1,111,8,16,0,2
S01007882,268,109,116,0,6,3,24,1,9
S01007883,468,150,209,2,67,2,28,7,3
S01007884,269,66,110,0,52,17,20,1,3
S01007885,345,56,68,1,191,10,16,3,0
S01007886,433,127,133,0,102,36,26,2,7
S01007887,230,81,68,0,6,2,60,3,10
S01007888,451,81,119,0,65,165,18,2,1
S01007889,242,66,77,1,84,4,6,2,2
S01007890,300,82,117,0,85,5,5,4,2
S01007891,370,84,170,0,91,4,16,3,2
S01007892,341,128,126,0,25,23,30,2,7
S01007893,423,181,182,2,19,4,23,4,8
S01007894,386,108,153,0,60,28,31,4,2
S01007895,249,95,87,0,21,13,26,4,3
S01007896,387,76,109,1,153,3,39,4,2
S01007897,165,71,62,0,3,1,20,2,6
S01007898,166,65,69,0,3,2,16,2,9
S01007899,145,61,42,0,6,0,29,2,5
S01007900,232,56,49,0,57,63,5,2,0
S01007901,317,65,79,2,139,4,24,3,1
S01007902,394,75,72,1,220,6,17,0,3
S01007903,322,116,69,0,105,5,24,2,1
S01007904,312,115,105,0,17,0,58,5,12
S01007905,292,28,64,0,166,23,9,0,2
S01007906,382,73,91,0,156,45,13,1,3
S01007907,254,74,55,0,62,50,10,2,1
S01007908,419,173,136,2,68,6,31,1,2
S01007909,226,54,82,0,11,63,14,2,0
S01007910,369,67,105,0,30,130,35,0,2
S01007911,348,73,146,0,80,26,18,4,1
S01007912,346,103,119,0,93,2,24,1,4
S01007913,304,60,64,0,114,18,40,4,4
S01007914,279,58,77,0,127,2,13,1,1
S01007915,361,93,123,0,92,42,11,0,0
S01007916,399,120,120,2,129,2,20,2,4
S01007917,369,96,137,1,97,15,22,0,1
S01007918,446,112,124,1,132,32,33,4,8
S01007919,303,131,149,1,10,0,5,1,6
S01007920,245,89,132,0,9,1,11,1,2
S01007921,422,66,95,1,241,5,10,3,1
S01007922,386,67,93,1,198,2,17,5,3
S01007923,412,148,182,0,41,8,26,3,4
S01007924,430,98,111,0,162,20,32,4,3
S01007925,176,81,66,0,4,0,18,2,5
S01007926,175,67,79,1,6,1,10,3,8
S01007927,237,91,109,0,16,0,15,5,1
S01007928,418,155,191,0,49,2,15,3,3
S01007929,268,99,127,1,9,2,22,6,2
S01007930,216,99,92,0,7,3,11,0,4
S01007931,481,155,185,0,92,25,19,2,3
S01007932,364,186,150,0,15,0,9,4,0
S01007933,316,100,170,0,2,12,25,4,3
S01007934,300,60,126,0,68,25,17,2,2
S01007935,444,89,137,0,85,30,89,11,3
S01007936,389,126,202,0,6,0,44,5,6
S01007937,435,150,222,1,11,3,37,5,6
S01007938,372,106,129,0,102,0,26,1,8
S01007939,412,92,109,1,162,20,25,0,3
S01007940,497,138,188,0,135,3,24,1,8
S01007941,257,118,120,0,6,1,10,2,0
S01007942,207,27,94,0,42,4,37,1,2
S01007943,319,114,111,0,41,10,32,2,9
S01007944,442,104,167,0,118,0,42,2,9
S01007945,443,116,127,0,98,47,44,8,3
S01007946,396,103,129,0,91,23,42,4,4
S01007947,327,119,133,0,42,6,23,3,1
S01007948,304,61,64,0,155,1,18,1,4
S01007949,347,135,142,0,37,5,22,1,5
S01007950,376,147,177,0,18,4,24,0,6
S01007951,321,96,150,0,43,9,17,3,3
S01007952,357,56,83,3,133,38,37,2,5
S01007953,414,78,174,0,118,6,26,4,8
S01007954,324,40,87,0,166,11,16,3,1
S01007955,322,56,103,0,140,2,18,2,1
S01007956,297,45,107,0,121,2,14,4,4
S01007957,455,97,142,0,126,59,22,2,7
S01007958,388,55,118,0,193,1,19,0,2
S01007959,380,156,164,0,37,3,16,1,3
S01007960,291,57,114,0,108,0,7,4,1
S01007961,278,117,89,0,13,3,36,5,15
S01007962,246,35,111,0,24,49,26,0,1
S01007963,408,32,34,0,69,254,14,5,0
S01007964,353,72,94,0,93,69,18,3,4
S01007965,256,45,77,1,114,5,11,2,1
S01007966,418,63,91,0,172,70,20,2,0
S01007967,245,18,52,0,149,10,11,2,3
S01007968,397,106,164,0,100,1,20,3,3
S01007969,390,98,125,0,127,23,13,2,2
S01007970,408,78,154,0,122,15,27,4,8
S01007971,469,81,140,0,198,16,29,2,3
S01007972,377,74,161,1,109,1,18,6,7
S01007973,355,167,175,0,5,0,6,0,2
S01007974,426,70,109,0,211,4,27,2,3
S01007975,324,69,110,0,94,4,37,6,4
S01007976,456,105,106,1,172,3,56,5,8
S01007977,304,80,142,0,23,19,33,4,3
S01007978,353,49,131,0,44,27,97,4,1
S01007979,363,121,173,0,27,4,27,5,6
S01007980,340,118,138,1,56,1,21,0,5
S01007981,252,151,87,1,4,1,6,0,2
S01007982,210,103,80,0,10,14,3,0,0
S01007983,387,88,82,1,175,22,13,5,1
S01007984,374,126,151,0,53,24,14,2,4
S01007985,412,80,117,0,181,7,22,2,3
S01007986,238,64,107,1,37,10,16,2,1
S01007987,313,99,153,0,9,31,18,2,1
S01007988,336,78,149,1,69,18,20,0,1
S01007989,290,50,113,0,19,61,44,3,0
S01007990,339,52,182,7,14,46,33,5,0
S01007991,334,73,232,0,5,2,18,2,2
S01007992,224,41,166,1,2,0,10,3,1
S01007993,329,133,172,0,9,2,9,3,1
S01007994,293,42,224,0,8,3,14,2,0
S01007995,309,71,223,0,5,0,10,0,0
S01007996,187,82,82,0,7,2,12,2,0
S01007997,296,162,112,0,3,1,17,0,1
S01007998,225,98,96,0,11,2,18,0,0
S01007999,301,39,93,1,143,2,16,1,6
S01008000,390,50,79,4,196,45,13,3,0
S01008001,372,34,60,1,218,43,14,1,1
S01008002,330,31,56,0,226,6,9,1,1
S01008003,241,28,110,0,70,4,26,1,2
S01008004,230,22,136,0,29,3,36,2,2
S01008005,220,9,115,0,9,68,15,2,2
S01008006,248,17,34,0,160,25,10,0,2
S01008007,208,27,52,0,65,5,56,2,1
S01008008,267,12,56,0,45,139,13,2,0
S01008009,373,33,69,0,82,149,33,6,1
S01008010,476,63,141,0,184,36,46,5,1
S01008011,455,59,57,0,197,64,75,1,2
S01008012,471,86,137,0,73,3,155,9,8
S01008013,363,50,123,0,91,2,77,15,5
S01008014,312,92,128,0,38,2,40,7,5
S01008015,437,71,133,2,134,1,82,11,3
S01008016,433,117,138,1,117,0,52,6,2
S01008017,375,209,141,1,5,1,10,4,4
S01008018,308,169,101,1,3,0,26,4,4
S01008019,271,102,134,0,10,0,18,3,4
S01008020,313,81,152,0,10,0,63,4,3
S01008021,244,121,100,0,4,0,12,3,4
S01008022,286,142,130,0,0,1,10,0,3
S01008023,246,66,171,0,2,0,4,2,1
S01008024,224,22,180,0,8,1,13,0,0
S01008025,283,107,159,0,5,1,8,2,1
S01008026,466,102,171,1,126,16,35,4,11
S01008027,259,72,81,1,76,3,15,8,3
S01008028,239,49,130,1,42,0,12,3,2
S01008029,345,123,117,0,43,2,43,8,9
S01008030,476,174,194,1,61,13,22,4,7
S01008031,403,96,130,0,130,18,21,3,5
S01008032,377,107,151,0,97,0,18,1,3
S01008033,269,90,156,0,8,0,11,0,4
S01008034,271,78,181,0,2,0,8,0,2
S01008035,281,109,136,0,6,17,9,0,4
S01008036,246,132,107,0,3,0,2,2,0
S01008037,421,86,150,0,128,31,19,4,3
S01008038,303,51,126,0,82,26,11,3,4
S01008039,363,86,158,1,86,11,15,2,4
S01008040,332,162,120,0,35,1,10,1,3
S01008041,354,151,108,1,41,1,43,3,6
S01008042,280,143,99,1,11,1,18,2,5
S01008043,398,219,159,0,0,15,4,0,1
S01008044,431,235,157,0,5,0,22,7,5
S01008045,449,247,124,1,38,2,25,1,11
S01008046,527,160,118,2,158,20,38,12,19
S01008047,292,173,102,0,2,0,7,0,8
S01008048,238,150,78,1,1,1,4,1,2
S01008049,357,211,135,0,0,2,6,0,3
S01008050,245,138,90,0,8,0,8,1,0
S01008051,328,148,164,0,3,0,8,1,4
S01008052,337,153,174,0,2,0,5,1,2
S01008053,263,144,102,0,0,1,13,1,2
S01008054,361,149,119,1,54,1,27,1,9
S01008055,384,207,166,1,1,0,8,0,1
S01008056,332,177,117,0,4,26,5,1,2
S01008057,400,183,165,0,31,1,13,2,5
S01008058,304,132,155,1,1,0,12,0,3
S01008059,260,135,115,0,1,0,8,1,0
S01008060,326,136,174,0,4,1,8,1,2
S01008061,283,93,176,0,0,0,9,1,4
S01008062,371,172,178,0,3,2,7,7,2
S01008063,381,174,183,0,4,0,15,4,1
S01008064,296,72,77,1,119,1,17,6,3
S01008065,348,162,176,0,0,1,6,1,2
S01008066,326,170,146,0,0,0,9,1,0
S01008067,257,140,105,0,1,1,8,0,2
S01008068,384,179,167,0,16,0,16,1,5
S01008069,385,159,198,0,6,1,20,1,0
S01008070,356,160,186,0,1,0,7,2,0
S01008071,287,108,154,2,14,0,7,1,1
S01008072,350,124,164,0,2,0,51,4,5
S01008073,178,97,76,0,1,0,1,3,0
S01008074,378,197,172,0,4,0,2,1,2
S01008075,246,152,81,0,1,0,6,1,5
S01008076,301,198,81,0,4,1,14,1,2
S01008077,349,189,143,0,2,1,13,0,1
S01008078,350,185,130,0,10,0,20,2,3
S01008079,341,193,137,1,3,0,6,0,1
S01008080,279,135,126,1,0,1,13,2,1
S01008081,235,128,99,0,1,0,7,0,0
S01008082,328,178,127,1,6,2,11,0,3
S01008083,270,136,125,0,2,0,6,0,1
S01008084,353,158,139,0,26,6,19,1,4
S01008085,339,142,178,0,6,0,9,1,3
S01008086,418,144,194,1,41,2,29,2,5
S01008087,330,176,141,0,1,2,8,0,2
S01008088,398,205,148,0,4,0,24,6,11
S01008089,243,125,111,0,1,0,5,1,0
S01008090,305,147,129,0,15,1,10,1,2
S01008091,146,78,62,1,0,1,4,0,0
S01008092,368,210,132,0,21,0,2,1,2
S01008093,331,186,119,2,1,0,15,2,6
S01008094,257,141,104,0,3,0,8,0,1
S01008095,345,166,134,1,1,1,34,6,2
S01008096,334,187,131,1,1,0,5,2,7
S01008097,281,177,92,0,0,0,10,2,0
S01008098,293,147,134,1,1,1,9,0,0
S01008099,209,86,104,0,3,2,9,4,1
S01008100,401,182,162,0,2,33,14,2,6
S01008101,351,91,185,0,15,2,49,5,4
S01008102,310,113,150,0,19,1,22,1,4
S01008103,338,78,118,0,82,10,39,7,4
S01008104,390,88,163,2,95,2,30,3,7
S01008105,518,77,196,0,132,63,45,2,3
S01008106,371,88,132,4,94,15,32,4,2
S01008107,281,56,191,1,0,1,30,1,1
S01008108,244,103,125,0,3,0,9,3,1
S01008109,332,149,156,0,7,3,17,0,0
S01008110,316,104,192,0,1,1,16,0,2
S01008111,349,209,117,0,4,2,10,2,5
S01008112,322,184,130,0,1,1,4,0,2
S01008113,359,187,145,1,3,1,18,1,3
S01008114,262,144,110,0,2,0,6,0,0
S01008115,368,110,210,0,6,1,35,4,2
S01008116,350,162,170,0,5,1,9,2,1
S01008117,329,161,127,1,29,0,10,1,0
S01008118,361,126,169,0,41,1,16,2,6
S01008119,260,52,87,0,102,2,10,4,3
S01008120,288,123,101,0,38,3,20,0,3
S01008121,269,163,103,0,1,0,1,0,1
S01008122,266,123,123,0,1,1,15,2,1
S01008123,366,200,136,1,1,1,21,6,0
S01008124,306,141,155,0,1,0,7,0,2
S01008125,378,186,150,0,2,1,33,3,3
S01008126,308,142,157,0,1,0,5,2,1
S01008127,194,89,92,0,4,0,9,0,0
S01008128,350,165,153,0,14,6,10,0,2
S01008129,426,91,159,1,108,24,36,2,5
S01008130,462,95,166,1,99,6,82,9,4
S01008131,398,82,123,9,112,0,58,8,6
S01008132,423,240,158,0,2,4,14,2,3
S01008133,338,110,81,0,64,28,48,1,6
S01008134,325,93,134,2,20,4,63,6,3
S01008135,478,90,227,3,29,28,89,7,5
S01008136,448,118,182,10,34,57,39,2,6
S01008137,414,24,62,1,55,250,19,1,2
S01008138,374,33,79,0,41,194,20,5,2
S01008139,393,109,120,0,22,104,16,15,7
S01008140,239,38,56,1,11,113,17,1,2
S01008141,318,155,148,0,4,5,4,2,0
S01008142,293,111,172,0,5,0,3,2,0
S01008143,428,114,148,0,118,3,36,3,6
S01008144,229,97,118,0,2,0,12,0,0
S01008145,328,50,105,0,159,0,11,1,2
S01008146,218,52,44,1,103,4,7,4,3
S01008147,339,87,146,0,90,8,6,1,1
S01008148,328,97,148,0,52,4,19,5,3
S01008149,313,71,140,0,61,19,20,0,2
S01008150,428,107,159,0,82,49,22,4,5
S01008151,321,67,138,1,57,35,19,2,2
S01008152,511,126,156,3,44,142,27,7,6
S01008153,295,112,165,0,6,0,10,2,0
S01008154,355,175,134,1,32,2,9,1,1
S01008155,275,97,147,1,17,2,8,1,2
S01008156,391,130,147,0,72,17,15,4,6
S01008157,293,96,152,0,31,0,12,2,0
S01008158,287,96,176,2,4,1,6,1,1
S01008159,461,70,110,0,192,35,51,1,2
S01008160,397,73,145,0,130,32,14,0,3
S01008161,399,104,250,0,9,11,22,0,3
S01008162,430,121,189,3,86,2,19,3,7
S01008163,327,63,100,0,94,21,38,5,6
S01008164,289,46,112,0,83,17,30,1,0
S01008165,266,39,194,1,6,1,21,1,3
S01008166,226,58,77,2,20,57,10,1,1
S01008167,294,67,69,0,119,17,19,3,0
S01008168,349,44,118,0,107,66,7,4,3
S01008169,320,53,116,10,91,26,19,2,3
S01008170,231,76,121,1,20,0,12,0,1
S01008171,373,97,109,0,115,2,40,4,6
S01008172,250,80,112,2,40,1,9,2,4
S01008173,260,80,131,2,35,2,5,1,4
S01008174,226,88,103,0,26,1,7,1,0
S01008175,378,75,170,2,78,0,46,4,3
S01008176,327,122,136,1,17,0,42,6,3
S01008177,371,106,113,11,88,25,19,2,7
S01008178,278,133,90,0,32,4,13,5,1
S01008179,170,38,123,0,2,0,7,0,0
S01008180,167,59,98,0,0,0,6,3,1
S01008181,284,149,106,2,11,1,11,0,4
S01008182,563,121,190,2,86,29,125,5,5
S01008183,282,88,117,19,17,3,35,2,1
S01008184,481,121,145,1,93,27,79,9,6
S01008185,573,134,185,12,87,61,78,6,10
S01008186,366,110,117,0,32,9,83,9,6
S01008187,284,58,89,1,88,20,19,2,7
S01008188,485,78,115,3,184,4,85,6,10
S01008189,271,105,91,0,43,5,24,3,0
S01008190,365,80,101,2,155,9,14,3,1
S01008191,187,57,52,0,60,8,7,2,1
S01008192,360,68,129,4,72,10,65,5,7
S01008193,327,117,131,0,54,0,19,2,4
S01008194,244,70,82,2,21,45,20,1,3
S01008195,331,35,114,0,151,2,25,2,2
S01008196,333,43,102,12,114,36,22,0,4
S01008197,390,32,254,4,19,41,36,3,1
S01008198,300,98,89,0,72,29,5,4,3
S01008199,298,30,68,1,184,0,12,2,1
S01008200,300,59,66,1,146,20,6,2,0
S01008201,354,62,93,1,174,5,15,1,3
S01008202,261,50,111,0,52,34,8,1,5
S01008203,283,36,70,9,111,7,41,8,1
S01008204,480,131,126,3,164,24,25,1,6
S01008205,276,66,96,0,99,0,11,2,2
S01008206,295,66,88,1,122,3,9,1,5
S01008207,246,23,66,0,130,18,6,1,2
S01008208,344,46,207,0,33,23,31,4,0
S01008209,200,17,158,1,2,3,16,2,1
S01008210,417,128,138,1,96,22,25,2,5
S01008211,420,118,157,0,69,31,34,4,7
S01008212,212,58,131,1,1,9,10,2,0
S01008213,370,110,209,0,29,4,13,3,2
S01008214,354,115,103,2,67,33,19,3,12
S01008215,324,98,150,2,40,8,19,4,3
S01008216,205,70,118,0,3,1,11,1,1
S01008217,226,100,109,0,4,0,9,2,2
S01008218,376,89,260,2,8,3,12,1,1
S01008219,424,91,156,11,74,24,58,4,6
S01008220,223,37,62,0,74,43,7,0,0
S01008221,309,49,55,1,175,1,27,1,0
S01008222,287,53,76,0,132,7,11,3,5
S01008223,280,59,76,0,63,68,9,3,2
S01008224,406,143,213,0,11,4,29,5,1
S01008225,290,94,107,0,77,0,7,1,4
S01008226,379,53,93,5,185,19,19,1,4
S01008227,389,69,98,4,184,8,21,1,4
S01008228,279,102,114,0,21,25,16,0,1
S01008229,300,63,91,1,92,45,4,2,2
S01008230,305,38,217,0,20,2,25,3,0
S01008231,243,21,205,0,5,1,10,1,0
S01008232,259,19,152,7,15,41,21,1,3
S01008233,178,25,94,0,13,28,15,0,3
S01008234,187,57,50,0,69,6,2,0,3
S01008235,368,107,108,1,112,22,8,2,8
S01008236,386,122,126,2,67,34,22,7,6
S01008237,376,92,117,1,87,40,29,2,8
S01008238,341,95,93,0,126,13,14,0,0
S01008239,331,84,135,0,78,3,22,2,7
S01008240,358,190,132,0,4,3,21,3,5
S01008241,271,163,95,0,3,1,7,1,1
S01008242,430,146,108,0,90,20,51,7,8
S01008243,361,89,151,0,59,4,41,3,14
S01008244,255,100,79,0,36,1,33,2,4
S01008245,410,144,174,1,59,5,17,2,8
S01008246,353,124,139,10,21,12,38,1,8
S01008247,319,112,112,0,36,12,31,7,9
S01008248,397,134,93,0,48,61,37,1,23
S01008249,401,157,120,0,30,10,62,1,21
S01008250,447,180,128,0,3,13,99,8,16
S01008251,255,91,145,0,3,3,11,1,1
S01008252,338,168,124,0,5,12,18,7,4
S01008253,370,101,111,0,93,40,16,2,7
S01008254,428,126,129,2,125,5,33,7,1
S01008255,292,85,131,1,46,12,9,6,2
S01008256,361,73,89,7,113,34,37,4,4
S01008257,357,119,77,1,59,51,38,6,6
S01008258,401,129,177,12,5,5,67,5,1
S01008259,376,102,117,0,44,26,71,8,8
S01008260,355,68,99,0,140,4,32,6,6
S01008261,368,74,120,1,136,16,16,3,2
S01008262,252,84,73,0,29,14,28,5,19
S01008263,284,96,93,0,30,6,52,4,3
S01008264,330,80,102,3,76,49,13,4,3
S01008265,332,192,102,1,5,2,26,3,1
S01008266,319,191,87,0,15,4,14,3,5
S01008267,350,110,105,0,59,10,52,3,11
S01008268,355,195,119,1,4,1,33,1,1
S01008269,400,216,111,5,3,45,13,3,4
S01008270,394,222,104,1,8,11,35,4,9
S01008271,386,111,80,12,28,40,95,9,11
S01008272,414,162,143,0,50,1,42,4,12
S01008273,346,171,120,0,26,1,21,2,5
S01008274,322,111,82,0,105,2,16,5,1
S01008275,258,109,79,0,50,1,17,1,1
S01008276,199,73,96,0,15,2,11,1,1
S01008277,213,77,61,0,6,1,60,3,5
S01008278,334,149,116,0,6,0,52,1,10
S01008279,331,119,109,0,80,8,10,5,0
S01008280,425,125,135,0,52,33,57,10,13
S01008281,316,91,89,0,16,19,70,15,16
S01008282,299,115,109,0,25,10,38,1,1
S01008283,184,60,91,0,9,2,16,3,3
S01008284,348,84,154,1,73,2,25,3,6
S01008285,355,80,78,1,162,2,25,5,2
S01008286,303,69,100,0,86,29,14,2,3
S01008287,311,82,106,1,97,1,18,1,5
S01008288,413,150,122,2,46,44,37,4,8
S01008289,319,80,89,0,40,48,58,1,3
S01008290,397,115,123,11,23,56,62,4,3
S01008291,369,210,103,2,14,0,27,6,7
S01008292,310,54,111,0,110,21,11,2,1
S01008293,199,55,131,0,2,1,6,2,2
S01008294,326,78,184,0,36,4,17,2,5
S01008295,380,130,205,0,7,13,20,2,3
S01008296,320,78,108,0,114,3,12,2,3
S01008297,295,88,156,0,38,1,10,2,0
S01008298,303,111,159,0,4,2,20,6,1
S01008299,370,79,77,1,170,12,28,2,1
S01008300,377,109,117,0,100,27,19,4,1
S01008301,316,115,185,1,1,2,10,1,1
S01008302,300,150,112,3,13,1,12,6,3
S01008303,272,68,115,0,47,3,34,3,2
S01008304,212,85,72,0,32,5,14,3,1
S01008305,315,160,139,0,2,1,10,0,3
S01008306,239,96,130,1,4,1,4,1,2
S01008307,216,64,131,0,11,2,6,0,2
S01008308,238,130,96,1,0,3,7,0,1
S01008309,372,70,92,0,116,45,44,3,2
S01008310,467,132,168,1,92,32,33,7,2
S01008311,172,28,80,0,54,0,8,2,0
S01008312,171,33,84,1,22,19,5,3,4
S01008313,403,90,119,0,144,22,24,3,1
S01008314,311,27,49,14,13,179,23,6,0
S01008315,450,51,83,3,51,195,54,9,4
S01008316,265,13,48,1,88,99,13,2,1
S01008317,316,44,136,0,59,50,26,0,1
S01008318,368,129,194,2,12,5,18,2,6
S01008319,373,123,129,0,93,3,20,1,4
S01008320,308,153,85,1,56,2,10,0,1
S01008321,195,66,121,0,1,3,4,0,0
S01008322,501,133,178,0,139,4,43,2,2
S01008323,324,43,110,0,138,3,23,2,5
S01008324,254,57,106,0,48,17,21,3,2
S01008325,291,48,113,3,68,38,17,2,2
S01008326,455,73,148,2,150,42,40,0,0
S01008327,386,110,152,0,82,19,18,2,3
S01008328,242,60,163,0,2,0,13,1,3
S01008329,291,103,172,0,2,1,10,3,0
S01008330,290,114,160,0,2,1,10,0,3
S01008331,246,65,145,0,1,2,27,2,4
S01008332,378,188,142,1,6,0,31,2,8
S01008333,454,202,147,0,3,31,44,20,7
S01008334,321,156,138,2,3,0,18,1,3
S01008335,330,100,129,1,80,0,14,3,3
S01008336,268,62,118,0,72,3,9,1,3
S01008337,365,77,209,0,59,2,12,3,3
S01008338,262,42,207,0,2,0,10,1,0
S01008339,227,70,141,0,2,0,11,2,1
S01008340,313,95,189,1,0,2,21,3,2
S01008341,204,62,138,0,1,0,2,1,0
S01008342,327,104,133,1,42,39,6,1,1
S01008343,328,183,140,0,0,0,5,0,0
S01008344,355,188,143,0,4,1,11,1,7
S01008345,350,210,122,0,1,0,15,1,1
S01008346,359,168,178,0,1,0,9,1,2
S01008347,489,267,163,1,5,1,37,4,11
S01008348,326,179,122,0,3,0,15,2,5
S01008349,313,144,156,0,0,1,10,2,0
S01008350,257,147,94,3,4,1,5,1,2
S01008351,347,174,157,0,2,0,13,0,1
S01008352,248,138,97,1,0,0,7,3,2
S01008353,198,91,98,0,1,0,7,0,1
S01008354,286,111,124,1,24,1,14,1,10
S01008355,299,96,108,0,64,1,19,4,7
S01008356,259,81,157,0,3,0,9,5,4
S01008357,296,131,137,0,3,1,21,2,1
S01008358,346,109,122,3,69,1,31,4,7
S01008359,250,105,120,2,3,4,11,2,3
S01008360,319,148,153,1,4,0,10,0,3
S01008361,201,83,105,0,3,1,5,2,2
S01008362,409,124,239,4,1,0,37,0,4
S01008363,320,142,136,1,2,0,34,0,5
S01008364,322,135,153,2,10,0,19,0,3
S01008365,288,160,114,0,1,0,9,1,3
S01008366,424,154,150,1,101,4,11,2,1
S01008367,368,70,130,1,116,7,37,2,5
S01008368,311,113,158,1,12,0,21,1,5
S01008369,235,89,107,0,26,2,9,2,0
S01008370,300,118,145,0,16,1,14,3,3
S01008371,302,144,148,0,1,1,5,1,2
S01008372,288,124,155,0,0,1,7,0,1
S01008373,269,113,153,1,0,0,2,0,0
S01008374,264,119,128,0,1,1,10,1,4
S01008375,285,135,144,0,1,0,2,1,2
S01008376,212,80,114,0,3,2,10,3,0
S01008377,291,117,150,1,0,0,17,3,3
S01008378,421,199,179,0,12,2,20,4,5
S01008379,206,114,86,0,1,0,2,0,3
S01008380,238,95,139,0,1,0,3,0,0
S01008381,229,77,152,0,0,0,0,0,0
S01008382,248,114,127,0,1,0,4,0,2
S01008383,181,77,96,0,1,1,5,0,1
S01008384,387,167,210,0,1,2,5,1,1
S01008385,252,124,118,0,3,3,3,0,1
S01008386,337,131,188,0,6,0,9,0,3
S01008387,241,76,149,0,4,0,9,1,2
S01008388,243,60,168,0,2,0,9,4,0
S01008389,312,200,71,1,2,26,7,0,5
S01008390,255,153,95,2,2,1,1,0,1
S01008391,349,168,116,1,33,2,19,6,4
S01008392,330,127,188,0,4,3,5,1,2
S01008393,369,225,119,0,2,1,16,1,5
S01008394,276,116,150,2,1,0,6,0,1
S01008395,189,78,106,0,0,0,4,0,1
S01008396,303,196,103,0,1,0,2,1,0
S01008397,346,168,166,0,0,0,8,1,3
S01008398,238,114,89,0,3,18,10,3,1
S01008399,257,162,78,0,0,1,8,3,5
S01008400,261,135,111,1,0,0,10,2,2
S01008401,404,228,162,0,1,0,9,2,2
S01008402,415,251,145,0,5,0,7,1,6
S01008403,218,116,98,0,0,1,2,0,1
S01008404,349,177,149,0,2,2,13,2,4
S01008405,266,128,128,0,1,2,6,0,1
S01008406,451,144,133,15,60,41,50,5,3
S01008407,284,129,80,0,1,28,34,4,8
S01008408,265,102,135,1,6,3,13,5,0
S01008409,390,127,146,1,36,37,37,4,2
S01008410,269,146,98,0,1,2,12,3,7
S01008411,247,107,109,1,9,3,9,2,7
S01008412,274,112,114,0,16,15,8,3,6
S01008413,222,79,82,0,31,18,10,2,0
S01008414,152,78,68,1,1,0,4,0,0
S01008415,347,132,159,1,21,6,24,2,2
S01008416,437,100,165,1,113,21,31,4,2
S01008417,299,140,121,1,3,3,22,0,9
S01008418,312,155,118,0,3,1,26,3,6
S01008419,193,49,92,0,15,20,10,3,4
S01008420,190,97,82,0,4,0,5,2,0
S01008421,394,102,165,24,46,21,28,5,3
S01008422,241,135,93,0,2,0,7,2,2
S01008423,398,177,162,2,4,2,40,1,10
S01008424,338,216,114,0,1,1,3,0,3
S01008425,409,206,160,1,14,5,9,1,13
S01008426,264,106,81,0,37,15,18,4,3
S01008427,397,138,237,0,2,0,15,1,4
S01008428,316,111,114,1,66,7,13,1,3
S01008429,352,192,139,0,7,4,9,0,1
S01008430,276,129,104,0,16,1,17,2,7
S01008431,352,180,124,0,1,41,4,0,2
S01008432,293,167,107,0,3,6,7,1,2
S01008433,348,171,157,0,2,4,13,1,0
S01008434,322,154,147,1,5,5,8,2,0
S01008435,301,162,124,0,3,1,8,1,2
S01008436,356,168,151,1,6,3,21,2,4
S01008437,367,138,109,0,33,25,48,6,8
S01008438,189,57,82,0,4,1,39,3,3
S01008439,434,220,185,2,0,2,21,1,3
S01008440,403,229,139,2,0,17,14,1,1
S01008441,186,96,85,0,1,0,2,1,1
S01008442,303,99,159,0,1,2,37,5,0
S01008443,252,141,86,0,5,8,9,1,2
S01008444,260,90,97,0,6,2,22,40,3
S01008445,403,70,54,8,6,165,26,71,3
S01008446,323,167,137,0,0,2,9,6,2
S01008447,286,135,126,0,0,3,19,1,2
S01008448,315,156,125,0,11,3,14,5,1
S01008449,351,22,57,1,80,162,27,2,0
S01008450,256,11,45,1,59,108,25,5,2
S01008451,325,6,26,0,194,85,14,0,0
