,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S01008311,313,115,130,0,10,34,24
S01008312,329,128,158,0,13,16,14
S01008313,748,284,279,2,32,60,91
S01008314,470,244,93,4,38,73,18
S01008315,617,314,130,2,41,79,51
S01008316,421,207,123,0,19,45,27
S01008317,560,220,222,0,32,61,25
S01008318,799,212,437,2,27,39,82
S01008319,622,186,275,0,18,64,79
S01008320,574,162,312,2,12,36,50
S01008321,436,121,273,0,9,20,13
S01008322,839,303,365,0,24,81,66
S01008323,610,238,238,0,28,59,47
S01008324,496,180,218,2,17,49,30
S01008325,554,246,211,0,19,49,29
S01008326,753,302,264,4,34,79,70
S01008327,712,234,312,0,22,67,77
S01008328,501,119,321,0,19,29,13
S01008329,679,164,468,0,11,18,18
S01008330,685,193,422,0,21,28,21
S01008331,477,164,237,0,16,41,19
S01008332,814,210,406,0,28,49,121
S01008333,859,172,461,0,13,60,153
S01008334,602,141,341,0,23,39,58
S01008335,590,177,285,0,25,46,57
S01008336,508,143,266,0,19,35,45
S01008337,663,163,381,2,11,66,40
S01008338,620,145,388,0,11,24,52
S01008339,493,142,288,0,13,37,13
S01008340,643,189,365,0,15,39,35
S01008341,484,125,324,0,8,22,5
S01008342,694,207,388,0,14,47,38
S01008343,702,137,478,0,9,20,58
S01008344,711,156,456,0,19,32,48
S01008345,765,179,495,0,12,21,58
S01008346,774,153,535,0,12,25,49
S01008347,832,181,429,0,25,65,132
S01008348,618,138,373,0,10,42,55
S01008349,696,141,444,0,15,30,66
S01008350,504,89,341,0,14,16,44
S01008351,727,143,473,0,14,33,64
S01008352,529,108,361,0,5,17,38
S01008353,406,78,272,0,9,15,32
S01008354,540,119,330,0,12,31,48
S01008355,540,161,247,0,18,44,70
S01008356,457,122,249,0,23,37,26
S01008357,566,131,359,0,11,21,44
S01008358,582,151,276,0,25,67,63
S01008359,492,118,288,0,19,32,35
S01008360,687,163,438,0,20,31,35
S01008361,424,106,249,0,9,36,24
S01008362,721,229,356,0,29,62,45
S01008363,601,189,323,0,15,46,28
S01008364,628,176,343,0,22,46,41
S01008365,567,124,362,0,11,30,40
S01008366,746,195,334,4,23,59,131
S01008367,617,215,244,0,30,82,46
S01008368,541,155,267,0,20,55,44
S01008369,421,130,204,0,15,25,47
S01008370,553,190,268,2,13,43,37
S01008371,618,145,392,0,17,35,29
S01008372,613,172,366,0,12,33,30
S01008373,614,159,406,0,4,15,30
S01008374,558,123,365,0,8,24,38
S01008375,633,153,408,0,12,26,34
S01008376,415,121,239,0,12,19,24
S01008377,584,160,324,0,17,42,41
S01008378,811,212,453,0,14,33,99
S01008379,434,108,278,0,4,11,33
S01008380,512,130,328,0,14,18,22
S01008381,489,113,328,0,6,26,16
S01008382,502,87,350,0,13,18,34
S01008383,378,99,234,0,6,15,24
S01008384,779,225,446,0,20,41,47
S01008385,542,121,349,2,5,27,38
S01008386,661,188,377,1,18,38,39
S01008387,476,116,303,0,8,34,15
S01008388,488,138,285,0,19,32,14
S01008389,570,116,308,2,6,23,115
S01008390,515,118,337,0,4,15,41
S01008391,627,138,354,0,15,25,95
S01008392,707,196,428,0,11,38,34
S01008393,669,146,393,0,14,29,87
S01008394,600,126,422,0,10,18,24
S01008395,413,120,252,0,5,17,19
S01008396,554,131,309,1,12,26,75
S01008397,762,188,494,0,7,31,42
S01008398,479,110,297,0,10,19,43
S01008399,463,99,262,2,11,18,71
S01008400,536,130,335,0,11,17,43
S01008401,807,215,477,0,18,21,76
S01008402,900,173,618,4,11,24,70
S01008403,473,114,312,0,8,14,25
S01008404,799,174,476,2,11,19,117
S01008405,584,133,392,0,12,16,31
S01008406,791,187,390,0,23,53,138
S01008407,456,155,179,0,17,30,75
S01008408,512,140,282,0,14,33,43
S01008409,719,236,308,0,21,57,97
S01008410,495,135,247,1,10,31,71
S01008411,500,160,263,0,17,29,31
S01008412,561,187,287,0,19,27,41
S01008413,442,152,223,0,5,31,31
S01008414,361,99,236,0,3,11,12
S01008415,680,243,326,0,17,40,54
S01008416,780,320,303,0,27,84,46
S01008417,586,112,402,0,13,24,35
S01008418,584,127,355,0,15,43,44
S01008419,373,76,234,0,12,24,27
S01008420,396,85,260,0,6,20,25
S01008421,687,218,306,0,28,76,59
S01008422,490,77,355,0,6,14,38
S01008423,826,172,573,2,7,34,38
S01008424,698,110,499,0,11,23,55
S01008425,2308,1648,526,1,13,44,76
S01008426,482,129,222,0,15,52,64
S01008427,868,236,555,0,11,41,25
S01008428,561,153,269,0,15,46,78
S01008429,707,158,454,0,11,23,61
S01008430,555,137,321,2,12,34,49
S01008431,698,151,437,0,12,40,58
S01008432,590,113,398,0,11,23,45
S01008433,685,141,453,0,9,41,41
S01008434,661,137,441,0,16,35,32
S01008435,652,133,427,2,17,31,42
S01008436,723,180,411,0,22,40,70
S01008437,606,177,275,0,16,63,75
S01008438,363,97,213,0,15,25,13
S01008439,848,154,589,0,15,43,47
S01008440,808,135,568,2,13,37,53
S01008441,374,64,255,2,5,15,33
S01008442,554,128,338,0,18,45,25
S01008443,486,94,324,2,8,21,37
S01008444,513,157,301,2,7,25,21
S01008445,690,111,430,0,11,42,96
S01008446,810,263,461,3,10,24,49
S01008447,556,98,384,0,6,32,36
S01008448,637,155,399,2,8,34,39
S01008449,594,278,191,2,23,68,32
S01008450,429,194,102,2,20,61,50
S01008451,505,265,122,2,28,72,16
S01008452,442,215,123,0,33,58,13
S01008453,379,197,133,1,11,33,4
S01008454,688,340,191,2,40,87,28
S01008455,806,417,210,0,37,106,36
S01008456,775,407,205,0,38,93,32
S01008457,534,212,153,4,20,94,51
S01008458,779,312,316,0,35,79,37
S01008459,606,298,159,0,32,94,23
S01008460,567,312,112,4,43,67,29
S01008461,708,395,158,0,42,81,32
S01008462,486,193,105,4,35,116,33
S01008463,552,294,143,1,25,66,23
S01008464,695,267,301,1,22,52,52
S01008465,610,245,258,2,20,50,35
S01008466,596,256,245,0,18,43,34
S01008467,639,210,326,2,15,49,37
S01008468,529,202,219,0,13,30,65
S01008469,480,188,218,4,14,33,23
S01008470,586,247,220,1,27,53,38
S01008471,626,307,181,0,42,66,30
S01008472,541,229,212,2,19,49,30
S01008473,550,234,194,0,24,56,42
S01008474,666,302,189,2,27,76,70
S01008475,500,195,145,0,21,69,70
S01008476,614,259,195,0,16,77,67
S01008477,680,280,204,2,26,82,86
S01008478,706,267,211,0,25,95,108
S01008479,660,289,202,2,23,65,79
S01008480,503,270,146,0,20,49,18
S01008481,1408,701,434,2,56,154,61
S01008482,522,182,212,0,20,60,48
S01008483,531,198,206,2,16,57,52
S01008484,628,196,312,0,19,46,55
S01008485,798,268,425,2,21,47,35
S01008486,777,255,342,0,10,64,106
S01008487,678,350,209,5,27,59,28
S01008488,675,329,207,1,16,61,61
S01008489,544,212,236,2,20,39,35
S01008490,795,423,224,1,17,75,55
S01008491,826,484,198,2,18,78,46
S01008492,814,575,139,2,26,57,15
S01008493,693,350,211,0,20,53,59
S01008494,598,351,145,5,17,54,26
S01008495,850,619,154,1,18,43,15
S01008496,929,654,166,0,24,74,11
S01008497,754,529,145,4,11,59,6
S01008498,732,523,120,3,11,58,17
S01008499,935,688,160,2,27,40,18
S01008500,352,251,52,0,9,35,5
S01008501,556,432,100,0,9,10,5
S01008502,604,435,104,2,14,46,3
S01008503,751,482,190,4,13,44,18
S01008504,950,478,365,4,13,63,27
S01008505,599,275,235,2,9,52,26
S01008506,760,283,284,2,19,67,105
S01008507,801,502,216,4,11,47,21
S01008508,682,182,410,0,12,33,45
S01008509,862,271,433,0,20,66,72
S01008510,755,225,432,8,14,35,41
S01008511,709,143,468,0,15,37,46
S01008512,410,83,279,2,3,18,25
S01008513,567,116,352,4,11,30,54
S01008514,757,194,407,2,13,41,100
S01008515,563,178,323,2,15,25,20
S01008516,827,548,165,0,19,64,31
S01008517,789,441,206,6,16,50,70
S01008518,733,280,364,0,13,37,39
S01008519,625,168,376,4,14,27,36
S01008520,868,162,604,0,7,36,59
S01008521,706,132,523,0,5,12,34
S01008522,434,102,277,0,10,23,22
S01008523,756,175,473,0,17,49,42
S01008524,714,325,197,0,25,100,67
S01008525,602,206,205,0,27,82,82
S01008526,737,260,283,0,20,82,92
S01008527,595,251,234,2,18,57,33
S01008528,540,198,245,0,16,61,20
S01008529,623,199,270,0,22,51,81
S01008530,570,257,175,0,21,68,49
S01008531,619,242,202,2,26,92,55
S01008532,369,120,148,1,15,45,40
S01008533,372,64,287,0,3,9,9
S01008534,576,150,365,2,11,26,22
S01008535,597,149,371,0,8,31,38
S01008536,484,105,296,1,7,28,47
S01008537,570,102,393,0,8,24,43
S01008538,467,89,322,0,3,8,45
S01008539,691,159,436,1,9,39,47
S01008540,728,150,480,2,7,33,56
S01008541,676,146,453,2,6,38,31
S01008542,721,157,486,0,12,36,30
S01008543,563,136,376,0,9,25,17
S01008544,479,137,315,0,11,11,5
S01008545,689,130,486,0,15,16,42
S01008546,701,110,514,0,7,24,46
S01008547,817,265,453,0,23,55,21
S01008548,653,242,303,9,23,54,22
S01008549,801,238,410,4,21,79,49
S01008550,660,199,384,0,10,44,23
S01008551,873,266,429,2,20,87,69
S01008552,745,210,406,4,15,63,47
S01008553,460,127,226,2,16,48,41
S01008554,765,316,286,3,45,75,40
S01008555,796,376,204,0,40,118,58
S01008556,590,262,182,0,28,69,49
S01008557,682,264,232,0,38,59,89
S01008558,712,284,229,3,45,79,72
S01008559,554,206,234,2,19,48,45
S01008560,550,196,228,2,19,48,57
S01008561,528,196,234,0,11,40,47
S01008562,489,198,120,0,27,87,57
S01008563,652,265,255,1,39,48,44
S01008564,527,196,193,2,20,55,61
S01008565,721,272,269,2,28,77,73
S01008566,817,319,341,0,20,83,54
S01008567,574,207,251,0,27,52,37
S01008568,627,222,301,0,22,54,28
S01008569,517,285,88,0,30,88,26
S01008570,719,348,195,1,35,87,53
S01008571,564,182,256,1,20,34,71
S01008572,735,236,344,0,17,53,85
S01008573,700,159,413,2,19,58,49
S01008574,624,195,328,3,19,45,34
S01008575,644,167,364,6,28,39,40
S01008576,725,206,384,0,26,51,58
S01008577,787,170,405,3,19,40,150
S01008578,659,134,417,0,8,18,82
S01008579,677,153,372,1,7,45,99
S01008580,466,145,241,2,13,29,36
S01008581,771,285,282,0,26,88,90
S01008582,837,342,303,0,27,82,83
S01008583,595,234,228,0,13,51,69
S01008584,685,263,268,6,23,68,57
S01008585,469,211,170,0,10,39,39
S01008586,665,255,256,0,16,64,74
S01008587,802,311,400,2,7,30,52
S01008588,621,221,294,2,7,39,58
S01008589,313,66,175,2,9,32,29
S01008590,646,257,255,0,12,40,82
S01008591,677,279,318,5,7,39,29
S01008592,612,282,207,2,15,36,70
S01008593,622,132,416,0,10,25,39
S01008594,881,319,436,0,19,47,60
S01008595,818,322,263,0,23,108,102
S01008596,746,384,213,0,18,78,53
S01008597,740,208,426,0,6,35,65
S01008598,746,465,197,14,15,36,19
S01008599,806,400,321,4,11,35,35
S01008600,665,234,335,10,8,25,53
S01008601,2471,2278,135,2,8,27,21
S01008602,608,448,100,0,8,37,15
S01008603,1069,848,143,3,21,40,14
S01008604,830,518,236,1,9,41,25
S01008605,629,415,153,2,16,27,16
S01008606,607,219,336,0,8,25,19
S01008607,513,101,319,2,15,27,49
S01008608,637,205,308,1,9,43,71
S01008609,800,195,402,2,21,64,116
S01008610,734,291,291,4,8,38,102
S01008611,1329,1038,214,0,15,30,32
S01008612,725,566,98,0,10,33,18
S01008613,693,402,211,2,13,24,41
S01008614,643,503,93,0,10,23,14
S01008615,782,576,137,2,7,23,37
S01008616,676,547,101,0,2,20,6
S01008617,754,577,125,0,10,32,10
S01008618,681,573,77,0,5,16,10
S01008619,493,384,79,0,7,17,6
S01008620,766,615,114,5,3,20,9
S01008621,710,557,113,2,8,17,13
S01008622,468,335,96,2,2,23,10
S01008623,858,530,256,4,10,24,34
S01008624,670,147,335,2,17,55,114
S01008625,464,107,286,2,7,30,32
S01008626,744,277,391,0,9,38,29
S01008627,581,125,362,0,5,25,64
S01008628,551,283,179,0,20,32,37
S01008629,492,239,142,7,9,63,32
S01008630,503,343,111,0,9,16,24
S01008631,712,479,144,2,13,54,20
S01008632,865,531,198,2,19,65,50
S01008633,785,233,387,0,17,56,92
S01008634,612,290,262,0,8,20,32
S01008635,746,364,280,6,6,43,47
S01008636,749,365,299,0,13,38,34
S01008637,608,281,233,4,9,32,49
S01008638,775,449,190,3,17,39,77
S01008639,795,516,211,6,16,27,19
S01008640,699,505,143,6,14,25,6
S01008641,784,619,118,0,12,26,9
S01008642,830,535,217,6,8,43,21
S01008643,608,335,193,4,10,47,19
S01008644,706,452,150,2,21,43,38
S01008645,730,482,186,2,8,28,24
S01008646,739,438,214,0,15,45,27
S01008647,548,388,117,2,7,26,8
S01008648,572,410,98,2,7,38,17
S01008649,869,588,143,2,14,63,59
S01008650,703,533,106,2,9,38,15
S01008651,946,778,95,5,12,42,14
S01008652,548,407,68,3,20,43,7
S01008653,640,444,117,2,17,44,16
S01008654,887,625,165,0,23,56,18
S01008655,754,519,168,0,15,38,14
S01008656,606,408,110,2,16,58,12
S01008657,690,507,109,3,13,45,13
S01008658,1066,807,130,0,22,72,35
S01008659,784,629,82,6,16,44,7
S01008660,877,686,120,5,14,42,10
S01008661,948,747,102,1,18,53,27
S01008662,727,649,44,0,9,24,1
S01008663,817,624,93,2,15,50,33
S01008664,671,486,109,4,17,47,8
S01008665,1113,866,140,5,15,65,22
S01008666,941,797,105,1,12,14,12
S01008667,922,730,126,4,12,33,17
S01008668,593,488,67,4,7,18,9
S01008669,544,503,26,0,5,8,2
S01008670,844,735,80,0,6,14,9
S01008671,738,647,44,0,6,32,9
S01008672,654,501,87,2,8,32,24
S01008673,990,717,188,2,7,54,22
S01008674,929,789,74,3,11,39,13
S01008675,691,478,106,6,19,60,22
S01008676,739,547,122,8,11,42,9
S01008677,791,633,82,2,15,46,13
S01008678,1163,1013,93,0,13,38,6
S01008679,1132,913,75,6,25,80,33
S01008680,600,470,77,3,11,32,7
S01008681,933,721,97,0,14,65,36
S01008682,717,497,125,5,15,54,21
S01008683,1370,1028,163,3,35,94,47
S01008684,862,537,160,8,31,93,33
S01008685,975,657,142,12,25,100,39
S01008686,878,503,186,0,17,93,79
S01008687,621,447,115,0,9,34,16
S01008688,811,483,204,3,14,54,53
S01008689,805,521,165,3,19,57,40
S01008690,910,574,203,3,26,73,31
S01008691,989,665,177,4,21,89,33
S01008692,656,404,147,0,17,47,41
S01008693,422,114,222,0,8,29,49
S01008694,898,531,242,2,26,68,29
S01008695,578,275,208,4,20,44,27
S01008696,550,172,289,6,13,36,34
S01008697,907,271,529,3,13,43,48
S01008698,420,107,236,2,9,32,34
S01008699,762,298,264,2,22,79,97
S01008700,469,120,280,2,8,26,33
S01008701,304,168,78,0,12,33,13
S01008702,496,300,149,0,17,21,9
S01008703,757,376,235,3,34,73,36
S01008704,535,253,174,4,25,46,33
S01008705,395,178,114,3,22,36,42
S01008706,404,200,113,0,32,44,15
S01008707,604,327,155,1,31,65,25
S01008708,733,355,158,0,34,114,72
S01008709,546,232,215,0,25,43,31
S01008710,365,174,124,0,20,30,17
S01008711,570,218,181,0,28,72,71
S01008712,928,346,286,1,51,125,119
S01008713,470,215,119,1,42,62,31
S01008714,485,187,178,0,21,49,50
S01008715,648,224,251,0,23,64,86
S01008716,468,167,164,2,13,47,75
S01008717,339,121,166,2,12,27,11
S01008718,429,131,214,0,12,38,34
S01008719,783,270,396,0,22,59,36
S01008720,443,178,179,0,18,27,41
S01008721,641,173,375,0,29,43,21
S01008722,903,202,512,4,19,62,104
S01008723,581,207,288,2,15,34,35
S01008724,780,191,430,4,16,58,81
S01008725,614,187,300,6,21,53,47
S01008726,452,105,276,2,12,30,27
S01008727,910,312,391,4,26,77,100
S01008728,400,172,133,0,22,41,32
S01008729,551,167,306,6,14,30,28
S01008730,649,334,201,5,24,58,27
S01008731,386,127,152,3,11,38,55
S01008732,503,268,138,2,22,44,29
S01008733,716,316,250,9,24,72,45
S01008734,467,135,230,4,10,47,41
S01008735,806,192,518,0,13,24,59
S01008736,606,152,360,0,11,29,54
S01008737,674,169,397,2,15,21,70
S01008738,648,128,424,2,7,19,68
S01008739,471,135,245,2,16,38,35
S01008740,465,108,274,0,10,29,44
S01008741,792,177,487,1,12,44,71
S01008742,446,161,175,0,9,36,65
S01008743,773,348,237,2,35,84,67
S01008744,881,346,330,2,24,91,88
S01008745,402,152,171,0,8,41,30
S01008746,895,432,249,5,33,109,67
S01008747,421,113,222,2,7,27,50
S01008748,567,105,373,0,5,28,56
S01008749,841,201,508,2,19,45,66
S01008750,611,134,386,0,3,23,65
S01008751,504,152,227,0,8,66,51
S01008752,664,321,150,2,30,97,64
S01008753,458,209,100,2,14,77,56
S01008754,543,302,121,2,20,68,30
S01008755,815,453,196,0,28,83,55
S01008756,624,304,161,0,35,83,41
S01008757,539,245,130,1,22,89,52
S01008758,694,303,198,3,28,99,63
S01008759,464,209,134,0,16,53,52
S01008760,763,362,203,4,44,118,32
S01008761,599,274,232,7,22,35,29
S01008762,527,165,263,2,12,41,44
S01008763,766,291,347,6,22,60,40
S01008764,586,202,293,0,15,46,30
S01008765,688,283,290,6,18,63,28
S01008766,863,250,463,2,15,45,88
S01008767,462,164,194,0,20,53,31
S01008768,453,210,155,1,16,29,42
S01008769,621,359,179,5,24,41,13
S01008770,725,407,218,9,34,53,4
S01008771,644,310,221,8,32,59,14
S01008772,669,246,275,6,23,61,58
S01008773,908,470,251,2,29,99,57
S01008774,789,454,194,2,30,77,32
S01008775,412,201,139,6,10,38,18
S01008776,755,441,151,0,25,93,45
S01008777,949,488,204,4,38,156,59
S01008778,999,634,199,6,39,105,16
S01008779,662,374,196,4,21,49,18
S01008780,529,354,111,0,17,41,6
S01008781,787,533,135,7,31,64,17
S01008782,697,416,168,8,18,52,35
S01008783,366,232,81,6,7,36,4
S01008784,395,252,82,0,15,41,5
S01008785,732,383,175,2,32,94,46
S01008786,857,585,150,6,24,63,29
S01008787,280,154,62,0,14,34,16
S01008788,614,384,138,5,19,55,13
S01008789,582,238,198,0,13,67,66
S01008790,576,377,100,2,19,56,22
S01008791,779,468,221,9,21,47,13
S01008792,685,384,196,4,15,61,25
S01008793,388,235,63,1,21,42,26
S01008794,773,356,219,6,21,85,86
S01008795,1000,628,245,3,21,68,35
S01008796,950,553,209,9,24,104,51
S01008797,888,550,176,9,27,68,58
S01008798,724,425,159,6,23,74,37
S01008799,565,372,119,4,17,40,13
S01008800,970,639,203,4,31,74,19
S01008801,870,585,204,3,9,55,14
S01008802,892,596,167,10,17,72,30
S01008803,862,540,167,10,30,85,30
S01008804,608,332,117,8,17,45,89
S01008805,589,422,100,5,9,36,17
S01008806,919,636,211,4,15,40,13
S01008807,742,453,167,5,29,52,36
S01008808,614,367,144,8,14,49,32
S01008809,570,295,193,5,7,47,23
S01008810,654,447,144,7,13,25,18
S01008811,794,534,184,9,10,41,16
S01008812,436,316,75,0,7,23,15
S01008813,828,451,224,3,36,74,40
S01008814,732,435,207,6,15,46,23
S01008815,806,514,165,2,29,71,25
S01008816,473,265,103,2,15,58,30
S01008817,658,387,169,0,26,63,13
S01008818,641,335,216,6,23,41,20
S01008819,646,286,234,1,16,53,56
S01008820,962,561,222,2,41,90,46
S01008821,550,206,285,2,8,32,17
S01008822,585,172,335,2,8,40,28
S01008823,556,149,304,6,12,30,55
S01008824,833,300,374,0,31,80,48
S01008825,512,161,267,1,15,41,27
S01008826,589,276,204,8,11,50,40
S01008827,570,131,357,0,8,27,47
S01008828,751,288,340,2,13,65,43
S01008829,564,158,317,0,13,33,43
S01008830,561,177,274,4,12,38,56
S01008831,658,159,380,0,12,34,73
S01008832,655,190,318,2,20,52,73
S01008833,863,335,323,19,26,58,102
S01008834,977,338,450,8,15,69,97
S01008835,695,230,342,2,15,49,57
S01008836,606,337,135,3,26,67,38
S01008837,939,562,263,2,31,63,18
S01008838,933,539,268,7,20,66,33
S01008839,918,485,331,8,13,50,31
S01008840,934,495,324,13,16,50,36
S01008841,502,288,141,2,13,38,20
S01008842,789,543,185,10,12,26,13
S01008843,912,648,185,4,18,39,18
S01008844,617,399,158,2,12,34,12
S01008845,795,540,173,11,13,38,20
S01008846,741,482,176,4,12,54,13
S01008847,537,362,128,0,8,25,14
S01008848,711,433,203,9,10,42,14
S01008849,663,396,193,0,12,47,15
S01008850,739,401,254,1,8,54,21
S01008851,952,545,236,7,21,86,57
S01008852,884,362,407,8,11,67,29
S01008853,607,394,150,3,11,42,7
S01008854,846,511,222,10,20,54,29
S01008855,985,582,259,6,21,84,33
S01008856,507,320,133,2,12,32,8
S01008857,693,381,189,4,18,73,28
S01008858,499,245,163,2,12,59,18
S01008859,1041,588,240,4,25,92,92
S01008860,806,481,200,2,22,65,36
S01008861,639,221,334,8,8,37,31
S01008862,828,516,199,2,26,53,32
S01008863,641,324,223,2,11,51,30
S01008864,880,555,210,1,11,47,56
S01008865,744,393,219,0,20,61,51
S01008866,711,389,228,2,13,51,28
S01008867,697,259,327,4,18,54,35
S01008868,728,496,173,0,18,30,11
S01008869,937,420,336,5,17,116,43
S01008870,697,303,278,0,20,55,41
S01008871,973,551,293,9,16,67,37
S01008872,767,439,239,2,18,48,21
S01008873,588,208,293,0,11,46,30
S01008874,774,359,252,2,27,78,56
S01008875,756,426,185,1,22,61,61
S01008876,497,133,236,4,15,32,77
S01008877,444,143,234,0,9,22,36
S01008878,778,243,358,2,23,72,80
S01008879,696,248,301,0,17,65,65
S01008880,533,169,234,0,16,49,65
S01008881,518,132,256,4,15,34,77
S01008882,851,243,473,3,19,48,65
S01008883,790,151,490,2,10,22,115
S01008884,590,100,386,2,10,30,62
S01008885,680,127,464,0,2,31,56
S01008886,712,272,299,1,24,64,52
S01008887,643,194,330,2,12,51,54
S01008888,542,262,165,2,26,49,38
S01008889,459,151,224,6,15,36,27
S01008890,599,130,379,0,4,45,41
S01008891,628,124,411,0,3,41,49
S01008892,837,279,356,3,29,79,91
S01008893,724,144,489,2,11,27,51
S01008894,688,132,484,0,7,31,34
S01008895,632,105,368,0,14,26,119
S01008896,410,69,290,1,8,22,20
S01008897,551,121,332,0,16,36,46
S01008898,689,127,485,2,6,26,43
S01008899,669,280,197,0,26,76,90
S01008900,789,302,315,4,25,68,75
S01008901,685,209,317,0,24,63,72
S01008902,831,363,296,2,29,72,69
S01008903,811,241,363,2,22,90,93
S01008904,810,405,254,0,30,82,39
S01008905,843,425,228,2,49,102,37
S01008906,616,320,167,0,38,79,12
S01008907,437,218,106,0,22,60,31
S01008908,717,280,263,5,37,97,35
S01008909,639,235,299,2,23,50,30
S01008910,374,154,148,0,12,30,30
S01008911,787,452,226,0,13,58,38
S01008912,640,174,362,0,13,44,47
S01008913,514,210,245,2,16,30,11
S01008914,739,251,349,3,15,58,63
S01008915,463,158,232,6,6,24,37
S01008916,906,360,277,1,32,131,105
S01008917,562,293,117,0,35,88,29
S01008918,423,203,117,1,28,62,12
S01008919,404,208,98,0,20,54,24
S01008920,948,524,280,14,31,79,20
S01008921,589,263,190,1,25,74,36
S01008922,648,270,220,2,15,72,69
S01008923,611,257,178,0,24,79,73
S01008924,704,306,246,0,38,72,42
S01008925,502,223,203,6,16,40,14
S01008926,475,186,210,5,19,40,15
S01008927,657,387,183,6,24,44,13
S01008928,628,296,214,4,13,40,61
S01008929,631,376,99,3,43,89,21
S01008930,683,314,187,4,40,88,50
S01008931,594,270,182,0,28,67,47
S01008932,694,351,229,0,29,54,31
S01008933,505,224,182,0,23,57,19
S01008934,594,265,201,2,26,65,35
S01008935,732,184,432,0,14,43,59
S01008936,300,47,211,0,4,17,21
S01008937,694,219,294,0,17,84,80
S01008938,583,143,367,0,5,24,44
S01008939,659,177,389,2,7,32,52
S01008940,508,81,376,0,5,19,27
S01008941,659,114,439,6,15,34,51
S01008942,581,165,298,2,31,53,32
S01008943,672,109,471,0,8,34,50
S01008944,809,135,526,0,32,46,70
S01008945,630,119,437,0,6,27,41
S01008946,769,155,496,2,14,35,67
S01008947,870,153,556,2,14,50,95
S01008948,573,144,344,2,10,39,34
S01008949,752,261,334,0,11,66,80
S01008950,775,235,357,6,24,55,98
S01008951,708,292,236,1,25,74,80
S01008952,663,301,196,2,17,81,66
S01008953,752,244,329,0,30,66,83
S01008954,747,240,280,2,20,71,134
S01008955,527,167,270,0,11,36,43
S01008956,727,271,321,1,26,76,32
S01008957,809,269,396,0,36,67,41
S01008958,605,219,206,2,20,86,72
S01008959,719,207,373,0,25,69,45
S01008960,672,169,432,0,14,45,12
S01008961,601,203,311,0,14,48,25
S01008962,530,143,300,0,13,40,34
S01008963,670,160,422,0,12,21,55
S01008964,437,93,284,3,4,15,38
S01008965,628,110,424,0,7,19,68
S01008966,483,91,307,6,3,28,48
S01008967,848,175,558,4,13,33,65
S01008968,824,177,552,0,12,28,55
S01008969,897,196,546,2,26,53,74
S01008970,838,222,492,2,22,41,59
S01008971,568,129,377,2,4,32,24
S01008972,633,145,393,0,8,29,58
S01008973,727,207,326,0,18,69,107
S01008974,652,214,320,2,14,35,67
S01008975,657,203,234,0,21,75,124
S01008976,426,95,273,0,4,22,32
S01008977,514,126,332,0,4,11,41
S01008978,473,165,218,0,11,53,26
S01008979,573,256,233,1,19,51,13
S01008980,620,252,256,2,21,65,24
S01008981,601,115,386,3,14,25,58
S01008982,629,265,253,0,22,49,40
S01008983,529,308,127,0,23,55,16
S01008984,390,151,161,0,12,43,23
S01008985,585,222,260,0,18,41,44
S01008986,661,137,421,0,13,32,58
S01008987,710,164,444,2,15,25,60
S01008988,928,318,351,0,28,77,154
S01008989,557,261,214,0,20,46,16
S01008990,643,277,259,1,27,62,17
S01008991,758,238,409,2,25,58,26
S01008992,487,145,259,3,13,40,27
S01008993,880,257,449,2,25,81,66
S01008994,628,198,317,2,23,49,39
S01008995,699,171,430,0,16,45,37
S01008996,483,149,241,0,11,39,43
S01008997,780,224,403,1,32,65,55
S01008998,464,213,161,0,18,59,13
S01008999,708,203,326,0,16,77,86
S01009000,757,152,486,0,20,46,53
S01009001,653,139,433,0,5,37,39
S01009002,657,151,392,4,17,43,50
S01009003,751,190,462,4,22,38,35
S01009004,534,161,293,2,12,37,29
S01009005,590,177,309,1,12,56,35
S01009006,602,185,308,2,19,40,48
S01009007,552,194,256,0,15,43,44
S01009008,780,201,432,0,26,52,69
S01009009,381,152,107,0,10,65,47
S01009010,820,226,488,0,30,54,22
S01009011,692,200,421,2,11,38,20
S01009012,609,156,385,0,10,37,21
S01009013,739,186,456,4,11,52,30
S01009014,497,186,197,0,18,38,58
S01009015,511,157,240,0,21,31,62
S01009016,436,124,225,0,8,24,55
S01009017,499,177,234,0,16,28,44
S01009018,601,218,298,2,15,33,35
S01009019,421,136,221,0,7,23,34
S01009020,635,232,298,0,25,32,48
S01009021,634,201,315,4,12,40,62
S01009022,788,257,353,0,9,81,88
S01009023,810,226,428,2,18,43,93
S01009024,844,268,406,0,20,42,108
S01009025,761,219,380,3,32,54,73
S01009026,770,246,378,0,24,53,69
S01009027,670,185,344,2,14,51,74
S01009028,430,134,222,1,7,31,35
S01009029,529,160,260,0,18,40,51
S01009030,611,198,305,0,17,36,55
S01009031,656,210,329,0,17,35,65
S01009032,559,163,300,0,11,39,46
S01009033,657,206,339,2,11,42,57
S01009034,558,154,322,0,11,21,50
S01009035,760,218,428,0,15,32,67
S01009036,814,251,425,1,28,50,59
S01009037,705,229,359,0,23,42,52
S01009038,868,277,466,2,18,48,57
S01009039,535,213,201,0,30,57,34
