,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S01008050,508,334,22,98,11,6,5,32
S01008051,690,440,50,124,8,9,25,34
S01008052,668,456,44,96,2,3,19,48
S01008053,507,316,22,91,3,9,17,49
S01008054,653,368,32,124,8,22,36,63
S01008055,835,586,24,149,6,8,17,45
S01008056,623,382,4,116,6,8,25,82
S01008057,758,456,36,160,4,14,32,56
S01008058,718,470,28,153,11,9,14,33
S01008059,559,362,22,112,1,9,17,36
S01008060,725,472,32,155,6,10,24,26
S01008061,530,296,38,110,1,15,36,34
S01008062,714,442,26,145,7,13,37,44
S01008063,764,462,32,163,9,11,32,55
S01008064,568,202,60,179,2,13,60,52
S01008065,775,506,40,160,6,8,19,36
S01008066,727,484,30,142,2,5,20,44
S01008067,524,342,20,100,1,8,21,32
S01008068,777,478,46,156,7,4,23,63
S01008069,777,462,60,159,2,15,25,54
S01008070,742,418,38,180,2,15,35,54
S01008071,580,332,54,116,1,16,24,37
S01008072,625,310,52,159,4,25,39,36
S01008073,403,286,10,82,1,4,6,14
S01008074,805,474,58,168,7,9,28,61
S01008075,492,322,14,94,0,6,13,43
S01008076,550,340,26,88,5,6,25,60
S01008077,679,428,20,129,8,10,25,59
S01008078,699,410,32,154,8,11,28,56
S01008079,735,504,34,121,7,11,15,43
S01008080,560,352,42,101,3,18,12,32
S01008081,492,302,10,112,6,8,14,40
S01008082,686,400,46,141,8,13,22,56
S01008083,586,360,26,123,7,11,16,43
S01008084,712,402,34,190,3,18,20,45
S01008085,794,508,28,194,5,11,11,37
S01008086,861,476,78,190,4,18,38,57
S01008087,694,434,22,146,5,11,18,58
S01008088,780,434,48,176,3,16,35,68
S01008089,543,326,34,128,5,7,12,31
S01008090,622,350,38,146,1,13,18,56
S01008091,332,222,16,66,1,4,7,16
S01008092,767,494,28,147,4,5,14,75
S01008093,672,372,26,163,7,11,14,79
S01008094,555,344,30,115,2,6,11,47
S01008095,645,326,40,149,5,19,34,72
S01008096,676,398,26,150,5,10,11,76
S01008097,543,296,13,129,2,8,15,80
S01008098,620,358,20,154,7,9,24,48
S01008099,430,244,33,105,1,7,16,24
S01008100,800,452,36,179,7,13,16,97
S01008101,624,290,46,193,4,26,37,28
S01008102,625,286,40,191,9,20,37,42
S01008103,524,168,48,174,3,17,56,58
S01008104,718,286,60,228,6,26,56,56
S01008105,856,280,84,278,6,47,68,93
S01008106,639,226,58,204,6,27,55,63
S01008107,625,376,56,141,10,8,19,15
S01008108,540,302,38,148,2,10,21,19
S01008109,756,438,42,190,8,25,14,39
S01008110,697,414,50,159,3,10,25,36
S01008111,751,428,34,174,3,10,16,86
S01008112,713,446,24,156,2,16,16,53
S01008113,779,470,38,183,5,10,18,55
S01008114,578,356,30,129,4,8,10,41
S01008115,759,384,52,220,6,22,43,32
S01008116,753,462,38,163,6,13,30,41
S01008117,676,428,16,146,4,16,22,44
S01008118,690,366,58,135,3,19,34,75
S01008119,542,242,42,171,2,17,29,39
S01008120,518,274,40,109,7,15,28,45
S01008121,556,388,6,98,4,2,11,47
S01008122,585,380,22,127,2,7,9,38
S01008123,763,468,34,171,4,9,23,54
S01008124,667,428,30,138,4,11,24,32
S01008125,728,436,40,151,6,23,18,54
S01008126,668,420,38,153,3,10,20,24
S01008127,411,262,24,78,1,8,13,25
S01008128,747,438,46,169,3,19,32,40
S01008129,748,288,88,221,7,23,74,47
S01008130,809,274,112,270,6,31,66,50
S01008131,642,204,64,232,5,27,60,50
S01008132,846,546,54,132,7,14,16,77
S01008133,540,234,30,122,7,22,59,66
S01008134,520,174,76,156,5,21,52,36
S01008135,846,372,122,237,7,38,48,22
S01008136,756,292,94,210,7,23,64,66
S01008137,656,142,84,260,4,56,69,41
S01008138,645,200,68,224,4,33,63,53
S01008139,713,292,66,220,3,29,44,59
S01008140,407,160,34,121,4,9,28,51
S01008141,712,418,36,167,1,12,19,59
S01008142,664,384,48,167,4,17,18,26
S01008143,741,284,66,217,4,24,81,65
S01008144,505,310,24,118,4,13,13,23
S01008145,646,308,62,175,5,20,29,47
S01008146,414,160,40,138,2,11,20,43
S01008147,664,328,60,160,2,24,47,43
S01008148,648,342,38,166,3,25,39,35
S01008149,568,262,54,150,0,26,24,52
S01008150,764,298,92,217,5,30,56,66
S01008151,589,246,52,172,1,15,36,67
S01008152,891,354,62,245,9,32,87,102
S01008153,672,402,38,175,3,13,20,21
S01008154,710,422,36,138,8,11,34,61
S01008155,576,322,40,135,8,12,30,29
S01008156,771,364,70,217,0,23,47,50
S01008157,592,318,46,147,1,20,28,32
S01008158,627,338,60,166,3,11,24,25
S01008159,779,272,78,252,5,38,76,58
S01008160,718,286,64,215,4,35,63,51
S01008161,815,472,102,165,1,19,34,22
S01008162,828,434,84,196,1,15,37,61
S01008163,601,252,80,155,12,16,41,45
S01008164,520,216,55,145,4,20,46,34
S01008165,555,320,106,80,4,7,24,14
S01008166,443,204,46,114,2,21,28,28
S01008167,561,208,94,152,0,19,38,50
S01008168,635,278,84,166,6,23,39,39
S01008169,584,230,96,141,4,35,37,41
S01008170,470,274,46,97,0,5,19,29
S01008171,616,236,82,158,5,17,56,62
S01008172,457,240,36,108,3,9,27,34
S01008173,521,292,44,109,2,12,21,41
S01008174,448,238,36,106,5,6,21,36
S01008175,615,248,72,177,3,24,52,39
S01008176,610,362,45,142,2,12,17,30
S01008177,635,282,80,148,7,14,46,58
S01008178,560,314,36,129,2,14,31,34
S01008179,390,234,50,79,1,6,12,8
S01008180,381,242,22,90,0,6,10,11
S01008181,579,340,38,122,4,9,21,45
S01008182,833,226,160,265,4,28,87,63
S01008183,521,226,66,141,4,25,20,39
S01008184,735,228,116,209,1,23,63,95
S01008185,887,300,110,265,7,24,95,86
S01008186,561,172,94,172,6,20,46,51
S01008187,501,194,58,161,3,11,36,38
S01008188,769,248,100,223,8,32,65,93
S01008189,491,258,18,118,5,14,30,48
S01008190,709,300,68,197,3,20,65,56
S01008191,383,184,34,107,1,8,25,24
S01008192,669,270,104,191,3,16,50,35
S01008193,642,318,82,146,4,6,37,49
S01008194,466,222,78,109,2,3,21,31
S01008195,623,250,98,186,4,16,40,29
S01008196,596,228,77,195,6,14,52,24
S01008197,740,318,222,150,3,24,19,4
S01008198,575,272,48,133,4,20,41,57
S01008199,608,276,90,161,3,15,41,22
S01008200,511,226,38,129,3,11,37,67
S01008201,632,252,78,184,3,15,51,49
S01008202,487,252,42,99,1,10,37,46
S01008203,460,146,62,147,6,24,41,34
S01008204,776,353,64,160,4,15,64,116
S01008205,565,298,48,135,2,14,21,47
S01008206,529,244,54,115,3,17,39,57
S01008207,453,196,56,124,0,19,40,18
S01008208,622,280,138,135,4,20,33,12
S01008209,412,210,88,82,4,9,12,7
S01008210,753,360,101,164,5,29,41,53
S01008211,744,326,90,195,8,22,51,52
S01008212,447,268,42,92,3,7,22,13
S01008213,777,478,58,160,3,9,34,35
S01008214,605,318,54,103,6,17,44,63
S01008215,620,310,92,135,1,13,33,36
S01008216,419,252,28,87,4,10,14,24
S01008217,456,304,40,66,2,6,15,23
S01008218,817,510,100,146,6,17,17,21
S01008219,781,342,122,206,1,21,46,43
S01008220,459,168,56,155,1,9,41,29
S01008221,539,172,94,170,4,19,50,30
S01008222,506,216,52,124,4,8,37,65
S01008223,510,242,62,110,1,14,26,55
S01008224,783,438,106,141,2,12,39,45
S01008225,594,314,58,141,1,15,32,33
S01008226,638,240,76,165,2,23,54,78
S01008227,681,320,72,156,2,30,59,42
S01008228,538,292,62,104,1,16,23,40
S01008229,551,248,72,132,1,14,37,47
S01008230,614,318,110,128,7,11,21,19
S01008231,524,352,68,83,1,2,12,6
S01008232,486,238,102,99,7,11,19,10
S01008233,350,204,60,55,7,4,11,9
S01008234,340,162,36,76,2,7,27,30
S01008235,690,360,82,131,5,10,34,68
S01008236,691,364,62,147,3,18,47,50
S01008237,695,328,90,159,6,30,47,35
S01008238,631,308,80,128,1,14,36,64
S01008239,628,348,70,111,5,20,25,49
S01008240,732,512,36,107,3,7,26,41
S01008241,557,384,30,83,2,8,12,38
S01008242,787,456,64,125,4,9,48,81
S01008243,705,460,44,103,8,18,35,37
S01008244,466,282,26,75,3,7,32,41
S01008245,790,484,76,129,2,12,28,59
S01008246,731,474,60,127,2,18,26,24
S01008247,642,372,96,105,3,12,30,24
S01008248,742,426,72,141,5,9,37,52
S01008249,727,446,64,117,5,18,34,43
S01008250,835,498,72,163,4,18,41,39
S01008251,544,390,32,83,1,8,13,17
S01008252,679,422,52,119,7,8,32,39
S01008253,637,296,60,126,3,9,57,86
S01008254,796,396,72,193,2,14,53,66
S01008255,564,282,58,118,4,20,37,45
S01008256,665,246,90,171,5,34,69,50
S01008257,551,218,64,99,6,20,40,104
S01008258,710,372,68,170,0,18,34,48
S01008259,637,304,84,115,4,24,42,64
S01008260,650,256,112,168,6,25,54,29
S01008261,708,332,94,160,0,20,53,49
S01008262,493,288,58,94,1,7,17,28
S01008263,481,240,58,86,6,15,39,37
S01008264,575,294,70,103,5,21,45,37
S01008265,563,350,32,59,4,19,26,73
S01008266,577,372,36,66,5,8,18,72
S01008267,657,392,62,112,11,11,27,42
S01008268,673,444,50,91,7,7,21,53
S01008269,694,394,32,96,6,18,32,116
S01008270,671,380,16,129,9,17,34,86
S01008271,581,178,86,166,8,22,75,46
S01008272,816,476,60,173,5,14,43,45
S01008273,673,428,32,119,4,8,30,52
S01008274,593,296,62,117,1,22,52,43
S01008275,462,266,22,96,2,17,22,37
S01008276,423,280,26,77,1,5,18,16
S01008277,408,250,36,68,6,2,22,24
S01008278,637,424,50,83,7,11,21,41
S01008279,605,340,62,98,5,15,33,52
S01008280,771,402,94,151,3,19,49,53
S01008281,584,330,74,102,9,18,26,25
S01008282,564,334,74,84,3,10,25,34
S01008283,395,246,30,80,2,7,16,14
S01008284,672,406,72,113,1,12,29,39
S01008285,628,262,104,140,3,16,49,54
S01008286,597,306,66,133,3,11,32,46
S01008287,601,280,74,152,5,18,32,40
S01008288,752,390,80,149,3,18,33,79
S01008289,525,174,88,144,11,22,63,23
S01008290,686,302,100,173,2,15,49,45
S01008291,642,360,60,101,3,6,32,80
S01008292,592,306,74,135,1,18,37,21
S01008293,428,312,36,56,1,3,9,11
S01008294,683,428,74,116,2,12,21,30
S01008295,795,444,68,200,4,18,26,35
S01008296,567,214,48,168,5,18,33,81
S01008297,586,336,42,147,1,9,22,29
S01008298,608,330,70,145,1,13,21,28
S01008299,616,254,48,175,7,31,44,57
S01008300,710,304,74,208,4,20,44,56
S01008301,687,410,50,162,3,17,25,20
S01008302,617,384,42,120,0,7,24,40
S01008303,471,184,42,144,2,11,36,52
S01008304,411,206,21,111,8,7,28,30
S01008305,678,416,48,155,0,8,14,37
S01008306,538,324,28,135,1,4,20,26
S01008307,442,266,42,85,3,6,15,25
S01008308,501,326,30,92,1,5,17,30
S01008309,582,174,54,212,3,23,62,54
S01008310,818,366,52,223,2,18,52,105
S01008311,313,130,36,89,2,5,27,24
S01008312,329,152,42,96,5,9,11,14
S01008313,705,266,42,248,11,28,54,56
S01008314,470,96,68,193,1,37,58,17
S01008315,617,126,84,249,2,37,69,50
S01008316,421,122,46,166,2,18,40,27
S01008317,560,218,80,162,7,25,43,25
S01008318,749,428,60,165,5,19,25,47
S01008319,622,272,46,150,3,17,56,78
S01008320,574,310,40,134,4,10,26,50
S01008321,436,266,30,102,7,5,14,12
S01008322,839,356,86,244,4,20,68,61
S01008323,610,234,46,204,4,25,51,46
S01008324,496,216,38,153,3,15,41,30
S01008325,554,202,88,174,5,17,39,29
S01008326,753,260,60,258,5,32,68,70
S01008327,712,312,50,197,4,17,56,76
S01008328,501,322,32,97,2,15,20,13
S01008329,679,460,22,153,5,10,13,16
S01008330,685,416,20,182,5,21,20,21
S01008331,477,234,44,137,2,13,29,18
S01008332,745,392,38,180,10,22,38,65
S01008333,812,456,30,146,4,13,51,112
S01008334,602,338,40,120,2,20,29,53
S01008335,590,280,40,150,4,22,41,53
S01008336,508,262,32,123,4,16,27,44
S01008337,663,378,56,124,3,10,53,39
S01008338,581,378,30,128,6,9,15,15
S01008339,493,282,50,108,5,12,23,13
S01008340,643,354,30,166,11,13,36,33
S01008341,484,322,34,103,1,6,13,5
S01008342,694,384,44,182,2,11,36,35
S01008343,702,478,10,134,2,6,15,57
S01008344,711,446,20,145,9,18,26,47
S01008345,765,474,20,171,20,10,14,56
S01008346,774,530,20,144,5,10,17,48
S01008347,832,418,20,168,10,24,60,132
S01008348,618,364,24,121,6,10,39,54
S01008349,652,424,24,122,11,12,19,40
S01008350,504,336,16,79,8,8,13,44
S01008351,720,470,22,130,1,8,30,59
S01008352,529,348,24,97,9,5,9,37
S01008353,406,266,14,71,8,5,10,32
S01008354,540,318,36,94,11,8,25,48
S01008355,540,242,36,140,5,16,33,68
S01008356,457,246,42,94,7,16,26,26
S01008357,566,354,16,119,5,10,20,42
S01008358,582,274,46,122,2,23,53,62
S01008359,492,290,36,97,4,12,22,31
S01008360,687,430,26,150,8,18,22,33
S01008361,424,246,38,88,0,6,22,24
S01008362,721,350,52,187,5,26,56,45
S01008363,601,320,44,155,3,14,39,26
S01008364,628,336,34,157,6,20,35,40
S01008365,567,362,18,117,3,8,20,39
S01008366,717,334,34,168,0,21,51,109
S01008367,617,234,40,187,9,27,76,44
S01008368,541,262,42,131,2,18,44,42
S01008369,421,202,32,107,1,14,18,47
S01008370,553,266,56,144,3,12,37,35
S01008371,618,390,26,130,1,16,26,29
S01008372,613,364,34,148,1,12,27,27
S01008373,614,400,26,137,5,4,14,28
S01008374,558,362,18,111,3,8,21,35
S01008375,633,404,28,143,4,6,15,33
S01008376,415,238,28,100,1,10,14,24
S01008377,584,324,38,137,3,12,31,39
S01008378,811,446,42,182,6,12,27,96
S01008379,434,276,18,95,2,3,8,32
S01008380,512,326,24,109,2,14,15,22
S01008381,489,326,22,99,2,3,21,16
S01008382,502,346,12,81,4,12,13,34
S01008383,378,234,22,86,0,4,8,24
S01008384,773,442,38,189,4,20,34,46
S01008385,542,350,32,107,1,3,13,36
S01008386,661,374,40,157,3,16,34,37
S01008387,476,302,36,94,1,5,23,15
S01008388,488,284,46,106,1,15,23,13
S01008389,539,296,16,106,9,6,16,90
S01008390,515,334,22,106,3,3,7,40
S01008391,627,350,28,117,5,11,21,95
S01008392,697,420,50,158,6,11,20,32
S01008393,669,384,26,131,8,13,21,86
S01008394,600,420,18,116,3,8,13,22
S01008395,413,250,24,101,2,4,15,17
S01008396,554,306,18,121,3,9,22,75
S01008397,762,486,28,173,6,6,21,42
S01008398,479,296,22,95,1,8,14,43
S01008399,460,264,16,84,1,9,15,71
S01008400,536,326,20,115,7,11,15,42
S01008401,807,454,40,190,18,14,16,75
S01008402,900,614,16,168,7,6,20,69
S01008403,473,310,20,105,0,6,7,25
S01008404,718,466,26,140,3,6,17,60
S01008405,584,386,20,120,7,10,11,30
S01008406,779,376,40,156,9,21,44,133
S01008407,456,172,28,137,5,14,27,73
S01008408,506,280,32,122,0,12,21,39
S01008409,684,298,48,196,7,17,46,72
S01008410,495,240,30,113,6,9,26,71
S01008411,500,256,44,133,5,11,22,29
S01008412,561,286,24,167,1,19,23,41
S01008413,442,220,26,131,2,3,29,31
S01008414,361,230,4,97,6,3,9,12
S01008415,680,318,46,208,6,14,34,54
S01008416,780,298,82,257,5,25,68,45
S01008417,586,400,26,99,2,10,18,31
S01008418,584,356,32,103,0,13,36,44
S01008419,373,230,18,70,3,9,16,27
S01008420,396,262,16,74,0,3,16,25
S01008421,687,302,76,161,6,22,62,58
S01008422,490,352,22,65,2,4,7,38
S01008423,826,568,48,140,7,7,19,37
S01008424,698,498,26,94,5,7,16,52
S01008425,804,484,56,152,2,9,27,74
S01008426,482,216,36,104,2,15,46,63
S01008427,868,550,76,178,4,8,30,22
S01008428,561,264,40,130,2,13,36,76
S01008429,707,448,38,129,3,11,17,61
S01008430,555,322,44,109,1,9,22,48
S01008431,698,432,32,129,6,9,33,57
S01008432,590,396,20,102,3,8,18,43
S01008433,685,452,48,111,1,5,29,39
S01008434,661,430,30,121,9,12,27,32
S01008435,652,428,34,118,0,14,18,40
S01008436,689,402,50,140,6,19,27,45
S01008437,604,268,74,124,5,12,47,74
S01008438,357,208,30,76,3,14,15,11
S01008439,841,584,30,126,4,14,38,45
S01008440,808,568,24,121,2,11,29,53
S01008441,374,256,12,59,1,4,12,30
S01008442,546,332,52,87,5,14,34,22
S01008443,486,320,28,78,6,6,13,35
S01008444,502,296,38,121,5,6,19,17
S01008445,679,426,12,95,4,9,37,96
S01008446,611,434,18,82,0,8,21,48
S01008447,556,382,38,79,0,6,15,36
S01008448,637,396,50,127,1,8,19,36
S01008449,594,172,82,217,16,21,55,31
S01008450,392,92,46,161,4,16,54,19
S01008451,505,118,48,227,6,25,65,16
S01008452,442,106,52,183,9,32,48,12
S01008453,379,116,88,122,15,8,26,4
S01008454,688,178,76,293,11,36,68,26
S01008455,806,194,120,323,8,29,96,36
S01008456,775,194,108,320,10,36,77,30
S01008457,534,146,62,169,7,14,85,51
S01008458,779,312,82,257,4,26,63,35
S01008459,606,152,78,231,9,28,85,23
S01008460,567,108,72,258,8,38,55,28
S01008461,708,154,103,315,7,30,67,32
S01008462,486,104,52,167,4,28,99,32
S01008463,552,132,78,234,9,20,57,22
S01008464,695,298,68,212,5,18,44,50
S01008465,610,246,88,169,12,18,42,35
S01008466,596,230,82,200,7,16,28,33
S01008467,639,320,84,147,8,13,31,36
S01008468,466,204,46,156,5,9,21,25
S01008469,480,210,50,149,12,12,25,22
S01008470,586,202,73,199,9,24,42,37
S01008471,626,166,78,259,9,33,52,29
S01008472,541,202,78,173,9,15,36,28
S01008473,550,180,70,176,16,21,45,42
S01008474,666,176,88,230,11,24,68,69
S01008475,500,142,58,156,3,17,56,68
S01008476,614,188,94,180,5,13,67,67
S01008477,680,200,80,216,5,24,71,84
S01008478,669,200,78,208,5,24,75,79
S01008479,653,198,106,215,6,12,38,78
S01008480,503,138,98,192,3,17,37,18
S01008481,777,358,64,219,9,22,57,48
S01008482,515,206,68,131,6,15,42,47
S01008483,531,186,82,144,5,14,48,52
S01008484,628,308,68,149,2,15,31,55
S01008485,798,418,88,208,5,13,33,33
S01008486,777,330,50,213,12,10,56,106
S01008487,678,202,132,240,10,24,42,28
S01008488,675,204,94,247,7,12,51,60
S01008489,544,234,36,183,2,20,34,35
S01008490,795,214,126,312,7,15,66,55
S01008491,826,184,154,368,16,11,52,41
S01008492,814,138,220,365,3,26,47,15
S01008493,693,196,84,284,11,18,44,56
S01008494,598,144,112,251,7,14,46,24
S01008495,850,136,202,429,13,16,41,13
S01008496,929,138,190,481,28,21,60,11
S01008497,754,138,150,385,10,10,55,6
S01008498,724,114,124,404,7,11,47,17
S01008499,935,144,202,500,18,24,32,15
S01008500,352,44,44,215,7,7,30,5
S01008501,556,90,126,311,10,7,7,5
S01008502,604,98,128,323,5,11,36,3
S01008503,751,188,220,276,7,9,35,16
S01008504,945,352,174,325,12,9,46,27
S01008505,599,230,128,170,5,6,34,26
S01008506,694,260,104,197,11,15,40,67
S01008507,659,216,140,236,2,9,35,21
S01008508,678,390,56,141,11,10,25,45
S01008509,862,422,102,191,11,19,46,71
S01008510,753,432,64,171,8,11,26,41
S01008511,707,456,44,114,10,13,25,45
S01008512,410,274,20,68,7,2,14,25
S01008513,530,348,38,87,5,8,12,32
S01008514,700,392,50,149,3,7,27,72
S01008515,563,330,50,132,2,6,23,20
S01008516,827,152,144,416,9,19,56,31
S01008517,789,208,124,336,6,7,39,69
S01008518,733,360,76,218,4,13,24,38
S01008519,625,376,44,132,3,12,22,36
S01008520,868,590,36,138,10,7,29,58
S01008521,701,516,28,103,7,5,8,34
S01008522,434,272,30,79,5,9,17,22
S01008523,756,460,56,135,15,11,37,42
S01008524,714,190,102,252,2,23,78,67
S01008525,602,202,57,162,6,19,74,82
S01008526,733,272,92,186,8,18,66,91
S01008527,595,230,64,200,4,17,47,33
S01008528,540,240,50,157,5,16,52,20
S01008529,623,264,62,160,3,19,35,80
S01008530,570,168,68,196,7,19,63,49
S01008531,619,200,74,188,2,21,80,54
S01008532,369,142,22,109,7,15,36,38
S01008533,364,284,18,44,2,3,5,8
S01008534,576,362,48,118,5,8,15,20
S01008535,597,368,24,137,3,6,22,37
S01008536,484,288,31,88,6,6,20,45
S01008537,570,387,24,91,5,4,16,43
S01008538,467,318,12,78,3,3,8,45
S01008539,690,428,42,132,6,7,28,47
S01008540,728,476,52,116,7,3,21,53
S01008541,676,444,28,125,11,6,31,31
S01008542,721,484,22,146,2,10,28,29
S01008543,563,374,36,112,1,6,17,17
S01008544,479,310,18,123,4,11,8,5
S01008545,689,480,22,119,6,8,12,42
S01008546,701,510,26,95,4,5,15,46
S01008547,817,448,96,188,3,20,41,21
S01008548,653,310,122,148,1,19,31,22
S01008549,797,410,84,175,3,17,59,49
S01008550,660,376,52,157,8,10,35,22
S01008551,865,418,86,201,9,18,66,67
S01008552,745,402,74,165,7,13,41,43
S01008553,459,222,46,97,3,15,35,41
S01008554,765,284,72,269,6,39,59,36
S01008555,787,190,102,280,13,39,105,58
S01008556,590,176,82,198,5,24,57,48
S01008557,677,226,60,214,4,32,52,89
S01008558,712,222,74,239,8,32,66,71
S01008559,554,234,72,154,3,15,32,44
S01008560,550,216,59,153,9,18,39,56
S01008561,528,226,66,147,6,8,29,46
S01008562,489,120,64,150,0,24,75,56
S01008563,630,246,74,198,1,37,35,39
S01008564,527,192,67,145,2,15,45,61
S01008565,719,260,82,213,7,24,63,70
S01008566,815,328,96,247,13,16,63,52
S01008567,574,240,70,153,8,22,45,36
S01008568,627,294,78,159,7,20,41,28
S01008569,517,72,60,246,16,26,71,26
S01008570,719,186,84,281,13,28,76,51
S01008571,561,248,44,148,5,19,28,69
S01008572,664,320,68,173,9,15,29,50
S01008573,627,386,52,124,6,17,23,19
S01008574,594,316,76,131,12,15,25,19
S01008575,643,366,66,128,3,19,22,39
S01008576,722,374,76,152,8,23,35,54
S01008577,676,392,36,137,3,14,24,70
S01008578,594,404,34,99,7,6,11,33
S01008579,563,342,44,103,1,4,21,48
S01008580,466,236,46,109,3,10,26,36
S01008581,771,270,78,232,10,19,74,88
S01008582,837,296,84,284,7,22,63,81
S01008583,595,214,54,191,10,12,45,69
S01008584,683,256,83,208,11,19,50,56
S01008585,469,164,48,169,6,9,34,39
S01008586,665,252,48,224,4,14,50,73
S01008587,643,380,42,139,12,5,21,44
S01008588,621,290,54,180,6,7,27,57
S01008589,313,178,20,55,1,7,25,27
S01008590,646,248,78,186,4,12,37,81
S01008591,660,300,68,216,14,6,28,28
S01008592,612,198,66,223,10,14,32,69
S01008593,618,406,30,107,9,10,17,39
S01008594,808,416,70,210,7,16,30,59
S01008595,756,246,72,251,9,22,87,69
S01008596,746,196,90,308,15,18,66,53
S01008597,740,418,70,154,4,6,23,65
S01008598,722,180,76,396,10,15,28,17
S01008599,786,312,68,331,5,10,25,35
S01008600,617,318,60,173,7,8,18,33
S01008601,692,122,54,458,9,8,23,18
S01008602,515,86,64,299,14,7,30,15
S01008603,1069,130,154,707,15,17,34,12
S01008604,760,218,106,365,8,9,29,25
S01008605,629,142,92,333,11,13,22,16
S01008606,603,320,46,181,12,8,19,17
S01008607,511,316,26,82,5,14,19,49
S01008608,592,292,48,164,5,7,28,48
S01008609,724,382,70,139,6,18,42,67
S01008610,734,288,34,263,7,6,35,101
S01008611,1020,202,126,609,9,15,28,31
S01008612,725,90,90,489,7,8,23,18
S01008613,693,208,68,337,5,13,21,41
S01008614,643,92,80,425,1,10,21,14
S01008615,759,132,82,498,8,4,17,18
S01008616,676,96,44,511,5,2,12,6
S01008617,754,120,60,528,6,7,23,10
S01008618,681,70,44,535,4,5,14,9
S01008619,493,76,40,346,3,7,15,6
S01008620,766,106,70,551,12,2,16,9
S01008621,710,114,44,523,1,8,8,12
S01008622,468,90,66,277,8,1,16,10
S01008623,773,246,40,413,9,8,23,34
S01008624,573,316,32,109,7,15,33,61
S01008625,457,288,22,92,0,6,22,27
S01008626,744,388,88,200,3,6,30,29
S01008627,517,346,24,96,10,4,17,20
S01008628,502,172,76,196,4,14,22,18
S01008629,492,138,74,185,6,7,50,32
S01008630,503,108,90,258,3,9,11,24
S01008631,712,140,128,363,3,13,48,17
S01008632,658,166,140,268,2,14,37,31
S01008633,761,368,48,192,17,15,42,79
S01008634,612,252,53,243,7,6,19,32
S01008635,720,280,68,297,5,5,37,28
S01008636,749,290,54,320,8,11,32,34
S01008637,577,226,70,210,9,9,20,33
S01008638,719,180,82,355,8,17,35,42
S01008639,773,202,130,379,9,14,20,19
S01008640,699,138,120,399,10,12,14,6
S01008641,784,110,88,541,4,11,22,8
S01008642,830,216,104,444,6,8,31,21
S01008643,599,190,108,247,6,10,23,15
S01008644,704,146,89,372,3,20,36,38
S01008645,730,184,114,375,4,8,22,23
S01008646,739,202,114,328,11,14,43,27
S01008647,548,120,108,289,1,3,19,8
S01008648,572,94,134,285,5,6,31,17
S01008649,810,134,224,371,7,12,50,12
S01008650,703,102,158,380,4,9,35,15
S01008651,667,88,148,365,6,12,36,12
S01008652,548,54,122,297,9,20,39,7
S01008653,640,98,86,369,16,15,40,16
S01008654,887,144,179,457,21,21,48,17
S01008655,754,134,120,409,30,13,35,13
S01008656,606,100,90,334,12,11,48,11
S01008657,596,104,136,288,9,10,36,13
S01008658,855,120,176,438,10,17,61,33
S01008659,784,80,118,516,8,16,39,7
S01008660,877,116,124,577,9,12,29,10
S01008661,712,86,106,422,13,15,46,24
S01008662,494,30,62,362,11,9,19,1
S01008663,800,88,103,518,6,11,43,31
S01008664,671,102,118,380,9,15,39,8
S01008665,869,126,165,481,11,15,49,22
S01008666,717,84,98,489,15,8,11,12
S01008667,663,115,80,408,8,11,24,17
S01008668,530,58,94,338,9,7,15,9
S01008669,544,26,18,485,2,3,8,2
S01008670,722,76,38,577,4,6,12,9
S01008671,738,32,60,592,12,6,28,8
S01008672,654,86,72,434,3,8,27,24
S01008673,990,172,104,625,16,7,44,22
S01008674,758,52,122,522,10,9,30,13
S01008675,664,100,104,365,8,14,51,22
S01008676,650,110,100,373,16,10,32,9
S01008677,703,62,111,457,12,11,38,12
S01008678,691,66,80,493,7,8,32,5
S01008679,845,66,80,558,13,22,73,33
S01008680,566,72,66,381,7,10,23,7
S01008681,933,88,92,643,9,11,54,36
S01008682,717,122,74,426,8,14,52,21
S01008683,933,136,98,523,11,32,88,45
S01008684,791,160,68,411,4,31,86,31
S01008685,727,136,92,371,15,17,60,36
S01008686,870,174,124,390,8,16,82,76
S01008687,621,96,158,295,18,7,31,16
S01008688,722,178,174,307,10,6,34,13
S01008689,805,158,200,334,7,19,47,40
S01008690,910,194,208,387,12,21,60,28
S01008691,989,178,240,447,2,18,71,33
S01008692,598,134,122,280,3,15,33,11
S01008693,422,222,40,90,0,5,19,46
S01008694,898,238,210,347,3,20,53,27
S01008695,578,210,120,175,2,20,25,26
S01008696,550,286,78,121,1,10,21,33
S01008697,905,526,74,215,3,8,32,47
S01008698,420,238,26,95,0,9,18,34
S01008699,758,252,84,223,12,20,71,96
S01008700,469,274,42,92,5,5,19,32
S01008701,304,72,58,120,4,10,27,13
S01008702,496,134,110,195,14,16,18,9
S01008703,746,224,96,286,11,29,65,35
S01008704,526,172,70,189,8,19,37,31
S01008705,389,104,50,136,9,19,30,41
