,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S01003135,346,86,106,-,-,125,22,3,4
S01003136,463,70,218,1,-,34,122,13,5
S01003137,375,77,152,-,-,24,114,7,1
S01003138,662,76,104,13,-,410,53,5,1
S01003139,619,130,232,1,-,5,225,21,5
S01003140,425,58,75,-,-,271,16,5,-
S01003141,463,84,239,2,-,6,121,7,4
S01003142,525,66,142,3,-,271,39,1,3
S01003143,452,124,191,-,-,79,54,2,2
S01003144,399,109,121,1,-,135,25,3,5
S01003145,303,89,118,-,-,80,11,4,1
S01003146,408,53,158,-,-,4,180,10,3
S01003147,404,130,136,2,-,104,25,2,5
S01003148,276,56,129,3,-,68,17,2,1
S01003149,566,117,219,12,-,22,171,15,10
S01003150,409,27,26,-,-,336,18,1,1
S01003151,367,94,156,1,-,89,22,4,1
S01003152,495,140,130,-,-,153,61,1,10
S01003153,277,114,127,-,-,11,17,2,6
S01003154,543,71,187,3,-,68,197,14,3
S01003155,486,93,354,-,-,8,22,5,4
S01003156,494,63,186,1,-,86,144,12,2
S01003157,587,126,140,1,-,91,209,12,8
S01003158,319,8,9,1,-,264,31,3,3
S01003159,81,10,12,-,-,55,4,-,-
S01003160,281,55,66,1,-,125,29,3,2
S01003161,259,65,102,1,-,73,15,3,-
S01003162,302,46,91,-,-,143,17,3,2
S01003163,331,137,131,1,-,3,52,5,2
S01003164,272,56,137,-,-,6,59,6,8
S01003165,497,134,152,-,-,117,80,11,3
S01003166,398,54,182,-,-,11,140,6,5
S01003167,374,59,123,1,-,145,37,2,7
S01003168,519,96,214,1,-,15,186,4,3
S01003169,950,192,605,1,-,55,78,13,6
S01003170,315,143,136,-,-,6,23,3,4
S01003171,232,88,97,-,-,7,37,-,3
S01003172,372,44,131,8,-,21,159,5,4
S01003173,278,31,113,1,-,5,117,8,3
S01003174,370,52,104,1,-,96,105,5,7
S01003175,476,52,52,1,-,296,74,-,1
S01003176,471,63,180,-,-,16,201,6,5
S01003177,415,143,189,-,-,8,68,7,-
S01003178,398,34,129,-,-,187,39,4,5
S01003179,280,35,83,-,-,30,121,8,3
S01003180,238,59,158,-,-,4,10,1,6
S01003181,344,67,102,-,-,150,17,4,4
S01003182,371,52,91,1,-,197,28,2,-
S01003183,331,50,125,-,-,25,123,6,2
S01003184,363,42,47,2,-,258,9,4,1
S01003185,259,56,50,2,-,118,29,1,3
S01003186,402,164,183,-,-,6,44,3,2
S01003187,492,99,213,2,-,31,135,8,4
S01003188,490,37,84,1,-,154,200,12,2
S01003189,420,56,138,1,-,28,182,13,2
S01003190,408,17,56,-,-,249,80,3,3
S01003191,278,15,38,-,-,167,57,1,-
S01003192,592,41,151,-,-,96,288,9,7
S01003193,638,53,397,-,-,103,72,6,7
S01003194,363,57,83,1,-,194,24,4,-
S01003195,306,149,133,-,-,10,13,1,-
S01003196,408,200,158,-,-,6,36,2,6
S01003197,375,148,152,1,-,5,57,6,6
S01003198,470,33,93,4,-,287,49,2,2
S01003199,416,99,216,5,-,67,26,1,2
S01003200,430,68,95,-,-,105,145,11,6
S01003201,133,15,14,2,-,69,28,4,1
S01003202,528,35,88,10,-,321,55,16,3
S01003203,413,113,152,-,-,107,28,5,8
S01003204,363,57,143,-,-,120,37,5,1
S01003205,431,68,62,3,-,221,66,10,1
S01003206,468,27,52,7,-,295,83,3,1
S01003207,316,54,146,1,-,27,77,5,6
S01003208,635,29,99,17,-,370,106,4,10
S01003209,250,62,121,-,-,53,13,1,-
S01003210,365,145,145,2,-,36,31,3,3
S01003211,251,57,124,-,-,7,56,3,4
S01003212,261,85,136,-,-,13,25,1,1
S01003213,264,40,71,3,-,115,31,3,1
S01003214,348,84,134,-,-,99,23,5,3
S01003215,383,45,110,-,-,213,11,2,2
S01003216,343,84,119,1,-,122,14,2,1
S01003217,418,40,36,3,-,307,26,1,5
S01003218,338,85,120,1,-,77,46,4,5
S01003219,337,93,139,-,-,81,20,2,2
S01003220,277,61,79,7,-,57,62,8,3
S01003221,428,42,96,2,-,249,30,4,5
S01003222,280,46,106,2,-,6,105,11,4
S01003223,470,26,77,3,-,283,76,5,-
S01003224,284,165,103,1,-,5,3,2,5
S01003225,398,76,49,2,-,258,8,4,1
S01003226,342,46,64,2,-,188,36,1,5
S01003227,792,72,260,8,-,76,343,24,9
S01003228,597,105,186,1,-,207,87,8,3
S01003229,332,139,157,2,-,7,22,3,2
S01003230,374,100,155,-,-,95,14,5,5
S01003231,442,92,157,1,-,156,25,9,2
S01003232,503,32,74,2,-,278,104,6,7
S01003233,349,152,168,-,-,9,12,1,7
S01003234,360,153,127,1,-,18,51,7,3
S01003235,370,110,157,1,-,82,13,2,5
S01003236,252,44,74,1,-,67,52,8,6
S01003237,414,88,136,-,-,170,17,2,1
S01003238,346,97,138,-,-,63,42,3,3
S01003239,461,96,148,4,-,158,51,2,2
S01003240,326,81,185,-,-,16,39,3,2
S01003241,349,167,131,1,-,38,9,1,2
S01003242,497,132,110,-,-,216,26,6,7
S01003243,405,128,148,-,-,106,20,1,2
S01003244,446,93,122,-,-,180,43,-,8
S01003245,708,57,72,-,-,522,43,10,4
S01003246,660,63,41,2,-,535,12,4,3
S01003247,355,20,78,22,-,173,56,2,4
S01003248,649,67,162,4,-,225,156,27,8
S01003249,421,67,112,6,-,121,102,10,3
S01003250,257,78,103,-,-,52,16,4,4
S01003251,471,19,40,18,-,383,9,1,1
S01003252,247,146,89,-,-,5,5,-,2
S01003253,540,18,37,2,-,416,60,3,4
S01003254,258,19,20,-,-,207,9,3,-
S01003255,446,115,139,1,-,125,59,7,-
S01003256,629,37,76,6,-,343,156,6,5
S01003257,258,86,112,-,-,8,45,3,4
S01003258,311,139,147,1,-,11,9,2,2
S01003259,479,104,222,-,-,57,84,4,8
S01003260,300,151,120,-,-,12,15,-,2
S01003261,421,253,143,1,-,8,7,1,8
S01003262,372,36,92,-,-,160,78,5,1
S01003263,465,31,50,2,-,260,114,5,3
S01003264,308,119,101,1,-,57,23,5,2
S01003265,306,115,98,-,-,71,18,3,1
S01003266,391,88,118,1,-,158,17,1,8
S01003267,583,141,162,1,-,192,77,4,6
S01003268,912,112,286,3,-,307,167,28,9
S01003269,493,53,82,-,-,292,59,6,1
S01003270,451,41,92,4,-,212,90,12,-
S01003271,"1,036",89,284,12,-,166,444,29,12
S01003272,894,41,150,24,-,554,111,10,4
S01003273,431,33,35,13,-,297,47,2,4
S01003274,335,53,48,-,-,205,23,6,-
S01003275,552,111,126,-,-,249,56,7,3
S01003276,277,129,139,1,-,2,4,1,1
S01003277,321,80,113,-,-,80,43,3,2
S01003278,362,112,156,-,-,71,19,2,2
S01003279,167,2,10,3,-,151,1,-,-
S01003280,445,114,142,2,-,126,54,3,4
S01003281,242,42,63,9,-,96,25,5,2
S01003282,295,109,150,-,-,14,17,3,2
S01003283,291,127,111,1,-,41,10,-,1
S01003284,561,107,166,-,-,222,55,6,5
S01003285,163,10,39,-,-,85,26,2,1
S01003286,587,103,106,1,-,283,78,9,7
S01003287,201,9,19,1,-,158,12,-,2
S01003288,285,142,125,-,-,4,10,2,2
S01003289,216,24,53,2,-,82,50,4,1
S01003290,443,81,109,5,-,130,114,3,1
S01003291,394,46,61,1,-,264,16,3,3
S01003292,286,108,124,1,-,28,23,-,2
S01003293,447,24,39,15,-,323,41,3,2
S01003294,445,123,128,-,-,136,45,8,5
S01003295,376,165,190,-,-,5,9,1,6
S01003296,395,11,19,4,-,312,36,8,5
S01003297,316,14,27,-,-,255,16,3,1
S01003298,474,162,176,-,-,61,65,5,5
S01003299,214,7,11,7,-,178,10,-,1
S01003300,386,107,186,2,-,35,47,3,6
S01003301,406,23,71,3,-,262,42,4,1
S01003302,401,19,33,-,-,303,33,9,4
S01003303,"1,144",89,279,5,-,55,652,48,16
S01003304,365,62,122,1,-,8,160,9,3
S01003305,384,44,183,-,-,20,122,10,5
S01003306,515,120,133,1,-,226,27,5,3
S01003307,520,98,145,8,-,222,34,5,8
S01003308,367,87,118,-,-,134,24,1,3
S01003309,494,14,44,20,-,351,61,2,2
S01003310,376,82,136,1,-,117,36,-,4
S01003311,279,128,144,-,-,-,7,-,-
S01003312,228,52,75,-,-,88,11,1,1
S01003313,457,47,85,52,-,190,69,12,2
S01003314,372,28,53,11,-,190,85,4,1
S01003315,308,50,106,1,-,18,116,16,1
S01003316,317,41,83,1,-,88,92,4,8
S01003317,293,37,166,1,-,26,59,-,4
S01003318,299,120,144,-,-,10,20,2,3
S01003320,269,27,97,2,-,7,125,6,5
S01003321,304,125,140,1,-,23,13,-,2
S01003322,461,56,86,-,-,128,172,14,5
S01003323,292,122,155,-,-,5,8,-,2
S01003324,245,39,80,-,-,52,63,9,2
S01003325,313,84,146,-,-,8,59,16,-
S01003326,453,63,89,2,-,266,24,5,4
S01003327,274,27,82,1,-,73,84,5,2
S01003328,636,39,157,12,-,65,320,28,15
S01003329,367,108,150,1,-,56,42,9,1
S01003330,324,60,237,1,-,9,14,1,2
S01003331,376,42,50,17,-,246,17,2,2
S01003332,206,12,34,-,-,155,2,1,2
S01003333,525,51,86,9,-,276,92,11,-
S01003334,449,72,144,-,-,209,18,3,3
S01003335,451,42,91,8,-,172,117,16,5
S01003336,497,96,74,2,-,279,41,1,4
S01003337,587,65,166,20,-,232,94,8,2
S01003338,455,93,165,-,-,94,91,4,8
S01003339,329,69,145,-,-,45,63,3,4
S01003340,551,126,142,1,-,223,41,6,12
S01003341,345,58,261,-,-,5,19,-,2
S01003342,353,17,31,-,-,254,35,10,6
S01003343,299,12,24,2,-,250,9,1,1
S01003344,191,38,98,-,-,38,16,1,-
S01003345,512,94,180,-,-,160,67,9,2
S01003346,383,93,113,2,-,147,26,1,1
S01003347,509,13,21,1,-,446,26,2,-
S01003348,595,63,208,-,-,95,204,18,7
S01003349,630,46,196,1,-,352,26,7,2
S01003350,365,65,173,-,-,100,17,6,4
S01003351,607,45,86,-,-,252,214,4,6
S01003352,538,66,129,-,-,321,14,3,5
S01003353,440,29,43,-,-,316,41,6,5
S01003354,325,75,50,-,-,164,32,2,2
S01003355,581,31,85,57,-,321,78,8,1
S01003356,516,28,32,1,-,420,29,2,4
S01003357,206,6,11,-,-,166,16,4,3
S01003358,"1,130",114,246,12,-,136,552,49,21
S01003359,355,67,264,-,-,3,15,4,2
S01003360,312,42,137,15,-,101,12,1,4
S01003361,380,58,75,2,-,225,15,3,2
S01003362,306,64,106,2,-,92,36,4,2
S01003363,365,102,94,-,-,146,21,2,-
S01003364,332,21,38,2,-,240,23,8,-
S01003365,318,22,58,7,-,149,69,7,6
S01003366,422,51,88,3,-,32,227,13,8
S01003367,671,26,51,5,-,555,22,7,5
S01003368,921,54,122,7,-,151,554,25,8
S01003369,329,69,54,-,-,194,10,-,2
S01003370,390,60,122,3,-,10,166,20,9
S01003371,403,76,124,1,-,16,158,24,4
S01003372,282,48,90,-,-,126,14,3,1
S01003373,"1,454",105,241,8,-,432,598,43,27
S01003374,214,1,13,8,-,188,4,-,-
S01003375,414,114,195,1,-,68,27,3,6
S01003376,249,8,27,-,-,203,10,1,-
S01003377,353,98,88,-,-,143,20,2,2
S01003378,433,31,33,1,-,284,72,3,9
S01003379,277,12,7,1,-,249,6,1,1
S01003380,614,73,190,2,-,41,284,19,5
S01003381,356,80,162,-,-,97,13,4,-
S01003382,930,81,198,10,-,207,383,25,26
S01003383,461,121,148,2,-,138,40,5,7
S01003384,475,113,119,47,-,169,24,3,-
S01003385,456,88,185,4,-,22,130,21,6
S01003386,368,65,88,1,-,194,12,4,4
S01003387,455,32,70,8,-,217,114,7,7
S01003388,580,61,90,3,-,351,66,4,5
S01003389,610,38,80,3,-,279,198,11,1
S01003390,530,7,46,3,-,459,10,3,2
S01003391,405,31,74,1,-,236,52,5,6
S01003392,455,89,139,1,-,58,145,17,6
S01003393,432,150,100,1,-,144,34,3,-
S01003394,252,28,68,10,-,74,69,2,1
S01003395,353,72,122,2,-,54,94,7,2
S01003396,461,27,27,5,-,371,24,4,3
S01003397,444,8,45,-,-,380,7,3,1
S01003398,404,25,120,4,-,159,91,4,1
S01003399,685,80,139,6,-,154,241,27,38
S01003400,362,112,96,-,-,132,15,4,3
S01003401,360,12,23,-,-,319,6,-,-
S01003402,419,5,18,10,-,383,3,-,-
S01003403,608,48,104,5,-,185,235,17,14
S01003404,267,27,16,-,-,219,4,1,-
S01003405,374,41,158,-,-,152,19,-,4
S01003406,398,55,96,6,-,145,85,7,4
S01003407,425,118,141,-,-,104,55,2,5
S01003408,330,19,42,1,-,215,44,8,1
S01003409,783,107,266,8,-,43,315,31,13
S01003410,730,69,146,5,-,63,392,32,23
S01003411,433,89,104,1,-,177,57,2,3
S01003412,461,48,84,9,-,278,36,1,5
S01003413,296,32,111,-,-,143,9,1,-
S01003414,219,39,40,2,-,128,7,2,1
S01003415,468,33,23,1,-,364,38,8,1
S01003416,535,62,38,7,-,340,69,14,5
S01003417,562,117,152,1,-,80,187,15,10
S01003418,503,35,37,14,-,355,53,6,3
S01003419,431,51,32,2,-,333,11,1,1
S01003420,198,14,6,1,-,168,8,1,-
S01003421,419,76,78,12,-,240,11,1,1
S01003422,424,55,73,5,-,226,59,5,1
S01003423,466,43,122,1,-,62,215,14,9
S01003424,615,35,70,-,-,453,48,7,2
S01003425,420,30,76,5,-,135,157,14,3
S01003426,623,103,159,1,-,183,166,7,4
S01003427,491,100,137,-,-,205,45,-,4
S01003428,424,8,15,1,-,390,8,2,-
S01003429,365,30,96,3,-,57,156,15,8
S01003430,426,46,76,3,-,82,199,17,3
S01003431,481,106,94,2,-,233,43,1,2
S01003432,387,49,94,2,-,26,202,12,2
S01003433,555,57,96,3,-,46,316,18,19
S01003434,431,46,49,2,-,313,14,6,1
S01003435,318,12,20,14,-,261,10,-,1
S01003436,238,39,128,-,-,32,35,3,1
S01003437,349,45,89,2,-,31,155,26,1
S01003438,638,56,177,1,-,96,273,30,5
S01003439,817,76,61,3,-,494,141,20,22
S01003440,216,43,75,1,-,72,23,-,2
S01003441,762,20,52,13,-,595,72,4,6
S01003442,514,11,11,2,-,473,16,1,-
S01003443,476,39,30,1,-,388,13,2,3
S01003444,366,11,14,6,-,330,5,-,-
S01003445,485,9,66,2,-,381,23,4,-
S01003446,274,29,43,1,-,55,125,15,6
S01003447,526,71,36,2,-,280,123,6,8
S01003448,369,106,107,1,-,129,17,5,4
S01003449,417,70,86,5,-,93,136,11,16
S01003450,645,64,108,-,-,278,170,19,6
S01003451,517,42,92,-,-,154,201,20,8
S01003452,250,70,110,2,-,50,12,3,3
S01003453,658,95,244,2,-,77,215,14,11
S01003454,291,29,56,5,-,96,90,8,7
S01003455,382,22,41,1,-,295,17,5,1
S01003456,128,3,1,2,-,117,4,1,-
S01003457,577,10,18,6,-,525,16,1,1
S01003458,508,29,122,1,-,326,20,4,6
S01003459,367,38,91,1,-,187,44,2,4
S01003460,593,100,155,3,-,78,232,19,6
S01003461,331,101,133,-,-,86,7,1,3
S01003462,244,12,45,-,-,153,33,1,-
S01003463,294,7,8,-,-,260,9,6,4
S01003464,427,62,90,8,-,23,211,22,11
S01003465,"1,625",137,461,9,-,143,806,40,29
S01003466,459,25,77,4,-,228,104,9,12
S01003467,347,54,114,-,-,159,13,3,4
S01003468,373,30,58,18,-,89,167,10,1
S01003469,584,60,110,15,-,268,115,8,8
S01003470,694,52,108,1,-,178,324,19,12
S01003471,315,16,38,-,-,248,10,2,1
S01003472,394,11,10,1,-,355,11,2,4
S01003473,593,76,84,4,-,262,150,15,2
S01003474,275,58,52,4,-,16,124,18,3
S01003475,432,45,64,2,-,183,116,19,3
S01003476,435,41,276,-,-,48,61,5,4
S01003477,716,78,227,2,-,118,267,20,4
S01003478,460,61,101,-,-,139,138,19,2
S01003479,498,60,99,2,-,163,144,26,4
S01003480,471,69,100,1,-,228,60,10,3
S01003481,585,74,110,6,-,189,184,14,8
S01003482,388,28,29,2,-,291,27,8,3
S01003483,271,30,74,-,-,141,23,3,-
S01003484,446,65,96,8,-,75,168,26,8
S01003485,409,81,113,4,-,11,179,16,5
S01003486,391,11,26,8,-,321,19,4,2
S01003487,481,53,73,4,-,126,204,18,3
S01003488,384,67,50,-,-,251,14,1,1
S01003489,602,72,170,3,-,301,43,9,4
S01003490,338,32,36,2,-,200,53,12,3
S01003491,44,10,5,-,-,26,2,1,-
S01003492,609,58,124,9,-,292,108,12,6
S01003493,490,30,73,4,-,304,71,5,3
S01003494,481,46,63,4,-,266,86,14,2
S01003495,481,41,130,18,-,241,46,3,2
S01003496,634,126,174,1,-,69,238,14,12
S01003497,521,128,144,2,-,69,153,19,6
S01003498,555,104,122,-,-,275,44,7,3
S01003499,637,94,198,-,-,159,158,23,5
S01003500,333,19,14,3,-,275,16,2,4
S01003501,367,40,89,-,-,32,197,8,1
S01003502,706,72,407,7,3,140,68,7,2
S01003503,388,73,118,3,-,54,124,16,-
S01003504,375,53,76,5,-,36,185,12,8
S01003506,514,89,153,9,-,48,187,20,8
S01003507,283,27,62,18,-,23,114,19,20
S01003508,516,44,58,3,-,361,42,7,1
S01003509,469,129,149,4,-,21,140,16,10
S01003510,241,14,59,1,-,101,58,7,1
S01003511,530,182,208,-,-,29,93,12,6
S01003512,361,67,69,1,-,186,34,2,2
S01003513,272,29,75,4,-,14,132,18,-
S01003514,418,98,92,5,-,4,201,9,9
S01003515,272,45,54,-,-,159,9,4,1
S01003516,307,87,175,-,-,13,23,4,5
S01003517,449,59,111,5,-,91,157,15,11
S01003518,621,31,112,5,-,374,91,8,-
S01003519,332,24,39,15,-,194,48,6,6
S01003520,400,105,100,-,-,76,108,10,1
S01003521,219,29,44,3,-,5,127,11,-
S01003522,435,95,144,-,-,9,170,13,4
S01003523,347,44,101,1,-,167,26,4,4
S01003524,561,158,228,2,-,31,121,14,7
S01003525,583,150,201,1,-,12,199,11,9
S01003526,461,107,174,2,-,6,158,8,6
S01003527,346,142,152,-,-,23,22,6,1
S01003528,192,31,110,-,-,28,20,3,-
S01003529,210,22,131,9,-,9,35,4,-
S01003530,428,76,152,1,-,31,142,20,6
S01003531,433,24,73,1,-,275,55,5,-
S01003532,483,173,181,2,-,83,35,4,5
S01003533,176,4,3,-,-,90,12,7,60
S01003534,565,45,203,24,-,183,90,18,2
S01003535,406,58,102,-,-,183,52,8,3
S01003536,513,160,186,5,-,34,115,9,4
S01003537,478,49,105,1,-,219,95,5,4
S01003538,286,63,53,-,-,150,18,-,2
S01003539,500,196,200,1,-,21,75,4,3
S01003540,264,36,33,1,-,173,20,-,1
S01003541,364,27,14,2,-,196,29,12,84
S01003542,406,130,147,2,-,37,80,9,1
S01003543,381,11,50,6,-,216,77,11,10
S01003544,226,65,95,1,-,11,43,7,4
S01003545,408,130,156,-,-,7,103,4,8
S01003546,541,39,75,9,-,368,38,11,1
S01003547,433,74,113,-,-,112,111,12,11
S01003549,381,41,52,-,-,264,16,2,6
S01003550,246,73,148,-,-,5,17,2,1
S01003551,355,60,86,-,-,174,35,-,-
S01003552,615,132,208,-,-,4,246,15,10
S01003553,356,11,9,-,-,316,15,4,1
S01003554,408,95,134,1,-,37,115,23,3
S01003555,335,70,127,4,-,13,105,8,8
S01003556,258,94,138,-,-,12,8,3,3
S01003557,365,20,6,-,-,328,4,2,5
S01003558,509,183,200,1,-,4,111,4,6
S01003559,388,139,202,-,-,19,21,3,4
S01003560,608,234,231,6,-,18,92,13,14
S01003561,550,11,84,14,-,393,42,3,3
S01003562,331,22,41,-,-,216,37,11,4
S01003563,234,43,51,1,-,132,4,3,-
S01003564,351,27,29,4,-,262,25,1,3
S01003565,452,69,77,-,-,268,28,4,6
S01003566,394,58,130,3,-,44,140,12,7
S01003567,469,7,36,-,-,416,6,3,1
S01003568,355,148,134,-,-,5,56,5,7
S01003569,290,158,100,-,-,14,10,2,6
S01003570,319,103,131,-,-,64,18,2,1
S01003571,464,34,104,2,-,258,58,4,4
S01003572,559,34,63,-,-,410,50,1,1
S01003573,476,104,134,1,-,187,37,5,8
S01003574,549,131,175,1,-,19,190,22,11
S01003575,451,52,76,3,-,285,26,4,5
S01003576,424,107,135,1,-,7,154,11,9
S01003577,391,101,144,-,-,126,13,2,5
S01003578,94,13,19,-,-,58,2,2,-
S01003579,425,1,3,-,-,418,3,-,-
S01003580,587,48,148,-,-,329,50,7,5
S01003581,711,55,166,7,-,301,154,16,12
S01003582,416,9,5,-,-,390,10,1,1
S01003583,280,54,50,3,-,158,12,3,-
S01003584,338,7,15,2,-,304,7,2,1
S01003585,437,21,83,3,-,211,92,17,10
S01003586,499,83,112,1,-,283,12,4,4
S01003587,365,171,164,-,-,8,13,3,6
S01003588,294,74,178,-,-,9,28,4,1
S01003589,507,195,189,3,-,15,85,9,11
S01003590,383,24,103,-,-,193,54,7,2
S01003591,493,205,240,1,-,13,23,4,7
S01003592,713,55,157,3,-,369,100,23,6
S01003593,291,72,103,1,-,97,14,-,4
S01003594,449,177,183,1,-,4,64,14,6
S01003595,455,16,40,1,-,378,18,1,1
S01003596,611,52,33,2,-,497,18,4,5
S01003597,340,187,108,2,-,6,30,2,5
S01003598,305,75,102,3,-,114,8,3,-
S01003599,445,100,160,3,-,128,46,6,2
S01003600,507,68,68,1,-,332,27,8,3
S01003601,406,19,62,-,-,245,71,9,-
S01003602,268,91,107,-,-,65,3,1,1
S01003603,438,61,78,-,-,284,12,1,2
S01003604,432,43,102,1,-,158,110,15,3
S01003605,372,29,57,2,-,264,17,-,3
S01003606,416,134,137,2,-,103,33,5,2
S01003607,212,47,91,-,-,56,16,2,-
S01003608,269,53,85,1,-,115,12,2,1
S01003609,497,173,182,-,-,73,59,8,2
S01003610,512,34,131,2,-,242,93,10,-
S01003611,492,28,34,1,-,415,11,2,1
S01003612,476,228,137,1,-,10,78,13,9
S01003613,557,112,383,-,-,17,34,7,4
S01003614,272,67,88,-,-,89,23,3,2
S01003615,370,10,104,1,-,238,14,-,3
S01003616,294,35,230,1,-,7,12,4,5
S01003617,499,14,12,-,-,444,13,6,10
S01003618,376,120,147,-,-,84,19,5,1
S01003619,456,32,23,1,-,379,15,4,2
S01003620,502,168,222,1,-,14,86,10,1
S01003621,501,150,76,-,-,242,31,1,1
S01003622,408,127,125,-,-,109,33,3,11
S01003623,337,151,163,-,-,11,9,3,-
S01003624,652,97,187,2,-,294,60,9,3
S01003625,188,19,48,-,-,97,23,1,-
S01003626,329,78,192,2,-,11,28,15,3
S01003627,361,8,35,-,-,287,26,2,3
S01003628,274,55,54,2,-,151,9,2,1
S01003629,403,81,57,-,-,235,26,3,1
S01003630,411,105,102,1,-,185,13,3,2
S01003631,594,169,280,1,-,77,54,6,7
S01003632,417,149,164,4,-,3,76,16,5
S01003633,713,97,293,2,-,190,114,11,6
S01003634,394,106,111,-,-,156,15,1,5
S01003635,405,57,110,-,-,119,111,7,1
S01003636,520,112,115,-,-,247,35,5,6
S01003637,523,142,172,33,-,106,60,6,4
S01003638,394,114,153,4,-,35,77,8,3
S01003639,370,106,123,-,-,102,34,2,3
S01003640,487,104,123,3,-,193,51,5,8
S01003641,266,35,201,1,-,7,17,4,1
S01003642,383,106,153,1,-,93,23,5,2
S01003643,308,28,135,19,-,80,43,3,-
S01003644,468,55,117,-,-,253,40,1,2
S01003645,258,75,106,-,-,50,22,-,5
S01003646,437,4,9,1,-,413,9,1,-
S01003647,354,109,136,-,-,74,26,4,5
S01003648,431,62,150,-,-,83,111,18,7
S01003649,396,142,173,1,-,36,34,4,6
S01003650,402,51,70,-,-,234,41,3,3
S01003651,386,82,102,-,-,167,25,7,3
S01003652,375,58,69,1,-,183,59,2,3
S01003653,279,41,84,1,-,130,18,2,3
S01003654,404,46,119,-,-,223,13,2,1
S01003655,260,52,45,1,-,149,8,4,1
S01003656,398,46,137,-,-,147,64,4,-
S01003657,345,76,87,-,-,159,14,5,4
S01003658,360,96,173,1,-,69,19,1,1
S01003659,435,95,191,-,-,39,86,13,11
S01003660,336,40,262,-,-,4,23,2,5
S01003661,451,104,257,7,-,23,47,8,5
S01003662,340,68,90,1,-,171,6,1,3
S01003663,340,39,47,-,-,236,12,4,2
S01003664,276,61,65,-,-,122,25,2,1
S01003665,367,3,10,3,-,345,3,3,-
S01003666,299,26,42,5,-,213,12,1,-
S01003667,329,100,148,-,-,66,8,2,5
S01003668,364,91,143,1,-,95,23,3,8
S01003669,433,69,186,4,-,134,35,3,2
S01003670,475,67,64,-,-,326,17,1,-
S01003671,316,71,102,-,-,106,29,3,5
S01003672,356,40,52,1,-,251,10,1,1
S01003673,195,3,15,1,-,171,5,-,-
S01003674,407,88,146,-,-,138,28,2,5
S01003675,458,100,221,-,-,7,112,13,5
S01003676,674,117,351,2,-,48,135,9,12
S01003677,284,86,81,2,-,99,10,3,3
S01003678,289,77,100,1,-,89,17,5,-
S01003679,521,53,124,-,-,310,32,2,-
S01003680,278,53,78,-,-,133,13,1,-
S01003681,313,87,97,2,-,98,16,8,5
S01003682,410,123,215,-,-,40,27,2,3
S01003683,285,83,121,-,-,65,10,5,1
S01003684,354,87,148,2,-,97,14,1,5
S01003685,228,57,90,-,-,49,25,-,7
S01003686,443,68,132,2,-,218,17,5,1
S01003687,379,20,14,-,-,338,3,3,1
S01003688,443,81,140,1,-,201,14,3,3
S01003689,267,30,51,1,-,162,20,2,1
S01003690,604,63,70,2,-,442,23,2,2
S01003691,461,128,238,-,-,63,27,4,1
S01003692,512,101,180,1,-,188,27,12,3
S01003693,246,45,87,-,-,95,18,-,1
S01003694,396,119,170,-,-,88,13,1,5
S01003695,466,61,83,1,-,270,47,2,2
S01003696,526,114,209,-,-,163,29,4,7
S01003697,371,158,190,-,-,11,8,2,2
S01003698,432,122,187,2,-,92,17,3,9
S01003699,365,77,252,-,-,9,22,4,1
S01003700,483,118,154,-,-,179,25,5,2
S01003701,628,79,157,-,-,334,50,3,5
S01003702,338,30,57,5,-,216,19,5,6
S01003703,450,69,128,-,-,240,11,-,2
S01003704,321,31,44,3,-,227,12,1,3
S01003705,417,17,26,3,-,360,8,-,3
S01003706,308,18,49,1,-,223,15,2,-
S01003707,398,12,63,1,-,310,9,3,-
S01003708,439,4,5,2,-,420,6,1,1
S01003709,451,15,13,-,-,410,9,3,1
S01003710,579,55,146,-,-,351,25,2,-
S01003711,448,14,36,4,-,381,7,5,1
S01003712,430,31,113,11,-,258,15,1,1
S01003713,227,16,22,14,-,164,9,1,1
S01003714,252,22,100,-,-,119,9,2,-
S01003715,331,15,123,10,-,168,9,6,-
S01003716,255,3,8,-,-,234,6,2,2
S01003717,357,11,24,8,-,303,9,1,1
S01003718,285,8,73,5,-,193,4,2,-
S01003719,259,124,79,1,9,7,24,3,12
S01003720,449,187,91,2,49,35,40,13,32
S01003721,364,114,108,4,68,14,30,12,14
S01003722,455,131,103,-,147,29,27,8,10
S01003723,234,110,71,-,9,11,18,6,9
S01003724,339,95,85,-,90,26,23,9,11
S01003725,270,91,70,11,21,34,25,5,13
S01003726,293,92,94,1,42,10,43,9,2
S01003727,282,70,83,-,95,8,15,9,2
S01003728,244,110,49,-,10,24,36,2,13
S01003729,362,96,103,11,72,41,32,4,3
S01003730,258,39,31,1,65,105,12,3,2
S01003731,283,34,56,24,28,94,35,5,7
S01003732,410,141,143,22,21,35,29,6,13
S01003733,369,57,93,21,108,73,10,5,2
S01003734,287,81,106,1,69,8,12,5,5
S01003735,340,131,119,1,23,44,10,6,6
S01003736,350,93,109,2,106,10,15,5,10
S01003737,281,83,86,1,65,25,13,3,5
S01003738,300,125,116,-,18,5,24,6,6
S01003739,247,122,38,3,13,13,36,14,8
S01003740,265,97,71,-,25,11,30,11,20
