"DZ_CODE","unmarriedPCTZscore","livingalonePCTZscore","rentedPCTZscore","movedPCTZscore","SFI","LAname"
"S01000946",-0.48,-0.404970363375788,-0.452687515502154,-0.453766212560153,0.745143168019668,"Dumfries and Galloway"
"S01000947",-0.53,-0.485132725860973,0.177298335365188,-0.432069081724937,-0.125568209320997,"Dumfries and Galloway"
"S01000948",-1.39,-1.28779014552501,-0.0592000203097528,-0.187507068535527,2.7899648103815,"Dumfries and Galloway"
"S01000949",-1.28,-0.927006727462002,-0.0166932632017626,-0.317919829473542,0.0180195007488903,"Dumfries and Galloway"
"S01000950",-0.62,-0.529019835292774,0.290479894081218,-0.360799941981278,-0.44738625397453,"Dumfries and Galloway"
"S01000951",-0.07,0.33157548849858,0.701338370064603,-0.273535795141326,2.46409106003526,"Dumfries and Galloway"
"S01000952",-0.79,-0.653781583235488,-0.597743699541577,-0.412615902723442,1.84945269344628,"Dumfries and Galloway"
"S01000953",-1.61,-1.53734181370223,-0.554692131878312,-0.72059622000569,-0.518116534088736,"Dumfries and Galloway"
"S01000954",-0.67,-1.02948944225496,0.225848773701035,0.12840979436652,0.103275006251698,"Dumfries and Galloway"
"S01000955",-1.5,-1.52588684434171,-0.39695019120127,-0.617999532667454,-0.661851929417056,"Dumfries and Galloway"
"S01000956",0.48,-0.0455636807131377,0.0662140259093165,0.40903290291079,2.99017382778178,"Dumfries and Galloway"
"S01000957",-0.37,-0.694740702087028,0.638588639555811,0.403093671556953,1.81541608332111,"Dumfries and Galloway"
"S01000958",-0.33,-0.0519638788610674,-0.367900219962781,-0.369270035955996,2.45863196466689,"Dumfries and Galloway"
"S01000959",-0.89,-1.11021194202811,0.00771573105290852,-0.304302000757976,-0.443392637583212,"Dumfries and Galloway"
"S01000960",-0.34,-0.361631495413914,0.304003510356144,0.459199985269348,3.94457702156662,"Dumfries and Galloway"
"S01000961",-0.66,-0.475499425677228,-0.36055288105377,-0.492512347572998,4.59071044291933,"Dumfries and Galloway"
"S01000962",0.21,0.0840598305940082,0.449732663390446,0.00336005540852356,3.1368277670602,"Dumfries and Galloway"
"S01000963",0.01,-0.363941209606904,-0.599402399073198,-0.446527271562347,1.0761359839423,"Dumfries and Galloway"
"S01000964",-1.09,-1.06076090939544,0.0597395794081293,-0.367483157084989,1.9034664896987,"Dumfries and Galloway"
"S01000965",0.59,0.617176837505019,-0.558245916944855,-0.095264323343915,0.412720407540533,"Dumfries and Galloway"
"S01000966",0.27,-0.150487025026997,-0.415783829288303,-0.350026361591561,-0.0335679713696859,"Dumfries and Galloway"
"S01000967",0.44,0.454140037364528,-0.13661057692826,-0.319312502460217,1.30573110709131,"Dumfries and Galloway"
"S01000968",-0.84,-0.984203755179275,1.05492198491178,-0.133689405974735,-0.000907198590228779,"Dumfries and Galloway"
