,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S01003483,435,112,52,179,3,16,39,34
S01003484,946,126,96,638,13,15,38,20
S01003485,844,144,68,562,24,12,20,14
S01003486,739,174,78,336,2,32,59,58
S01003487,925,126,84,597,23,13,43,39
S01003488,562,146,52,221,9,19,49,66
S01003489,1089,344,128,414,15,62,55,71
S01003490,537,122,30,245,16,11,52,61
S01003491,73,24,6,18,1,3,6,15
S01003492,910,198,126,412,44,35,56,39
S01003493,702,112,90,322,16,41,75,46
S01003494,719,130,86,323,13,30,67,70
S01003495,763,226,84,291,19,37,59,47
S01003496,936,162,206,441,11,16,43,57
S01003497,883,210,150,440,3,16,38,26
S01003498,873,268,110,291,10,34,73,87
S01003499,917,186,130,419,9,30,88,55
S01003500,491,128,38,208,12,24,47,34
S01003501,667,102,90,432,9,15,16,3
S01003502,1392,626,216,406,8,51,56,29
S01003503,655,132,118,336,1,12,36,20
S01003504,779,114,82,522,14,16,22,9
S01003506,924,160,156,519,10,17,40,22
S01003507,460,92,62,263,13,8,17,5
S01003508,731,120,78,333,9,37,88,66
S01003509,830,234,134,366,10,14,43,29
S01003510,364,74,68,166,1,15,26,14
S01003511,949,314,151,352,20,19,47,46
S01003512,537,156,42,195,1,20,55,68
S01003513,689,68,58,531,6,4,20,2
S01003514,844,118,90,576,10,4,25,21
S01003515,489,138,32,184,8,31,46,50
S01003516,580,290,66,146,6,14,24,34
S01003517,692,88,146,381,8,15,39,15
S01003518,875,180,100,398,4,35,101,57
S01003519,481,74,46,271,9,15,40,26
S01003520,669,168,86,289,13,15,43,55
S01003521,501,40,44,380,6,5,14,12
S01003522,750,172,140,357,7,13,45,16
S01003523,552,178,70,174,-,30,43,57
S01003524,921,306,192,323,9,15,44,32
S01003525,962,246,202,382,13,13,60,46
S01003526,891,238,138,439,6,11,29,30
S01003527,697,396,48,170,9,15,21,38
S01003528,394,160,44,140,4,16,17,13
S01003529,418,188,60,125,7,14,15,9
S01003530,754,150,154,386,9,13,24,18
S01003531,660,126,98,293,9,27,62,45
S01003532,892,428,76,232,2,23,42,89
S01003533,231,50,22,106,26,11,11,5
S01003534,794,180,97,316,4,38,97,62
S01003535,603,140,114,236,4,28,56,25
S01003536,921,332,174,323,8,12,38,34
S01003537,756,146,112,348,12,14,55,69
S01003538,511,134,32,220,3,23,44,55
S01003539,836,346,114,266,5,17,41,47
S01003540,388,104,36,149,8,10,40,41
S01003541,586,152,32,250,47,37,43,25
S01003542,688,266,102,211,9,18,42,40
S01003543,556,132,44,277,20,24,36,23
S01003544,454,148,74,174,10,11,27,10
S01003545,689,268,110,239,7,10,33,22
S01003546,805,150,82,346,9,35,97,86
S01003547,672,170,116,294,3,20,54,15
S01003549,628,124,66,285,10,32,52,59
S01003550,523,270,44,142,10,21,16,20
S01003551,568,148,70,208,22,21,40,59
S01003552,979,238,230,421,7,20,38,25
S01003553,530,108,54,264,5,21,47,31
S01003554,687,166,106,324,8,14,41,28
S01003555,630,182,130,266,5,14,18,15
S01003556,549,328,36,125,5,11,16,28
S01003557,535,82,74,255,8,44,43,29
S01003558,884,346,124,303,11,18,37,45
S01003559,761,420,100,163,2,16,20,40
S01003560,1074,504,124,299,12,17,45,73
S01003561,822,162,81,414,-,33,84,48
S01003562,493,90,58,241,5,22,43,34
S01003563,416,122,40,160,7,20,27,40
S01003564,575,132,48,261,12,26,47,49
S01003565,713,194,70,274,1,28,66,80
S01003566,690,118,148,355,5,10,25,29
S01003567,752,158,66,339,14,54,60,61
S01003568,586,246,76,168,10,17,30,39
S01003569,578,280,36,149,4,8,23,78
S01003570,575,292,38,144,6,13,34,48
S01003571,727,160,89,319,6,48,71,34
S01003572,824,164,80,376,23,44,86,51
S01003573,796,248,102,237,12,26,58,113
S01003574,952,232,196,427,8,22,37,30
S01003575,698,172,74,300,22,20,60,50
S01003576,676,204,112,247,25,28,33,27
S01003577,743,298,68,231,10,32,44,60
S01003578,180,46,18,76,3,9,13,15
S01003579,665,122,58,318,8,40,79,40
S01003580,839,162,134,370,5,42,78,48
S01003581,1081,186,176,517,17,45,87,53
S01003582,569,72,46,283,7,34,66,61
S01003583,462,132,36,176,4,21,35,58
S01003584,546,134,74,228,30,27,40,13
S01003585,622,58,112,330,16,32,40,34
S01003586,802,226,104,267,21,33,63,88
S01003587,798,522,28,165,12,12,22,37
S01003588,548,248,56,164,2,24,31,23
S01003589,875,372,109,254,16,19,53,52
S01003590,595,128,84,267,8,28,60,20
S01003591,1011,580,56,250,10,24,37,54
S01003592,1125,234,154,546,10,53,87,41
S01003593,528,202,48,147,5,18,48,60
S01003594,832,368,100,243,8,18,45,50
S01003595,684,126,78,311,4,35,72,58
S01003596,742,98,46,399,16,47,85,51
S01003597,612,332,30,144,10,12,25,59
S01003598,580,210,48,184,7,17,43,71
S01003599,811,312,86,253,10,27,45,78
S01003600,714,118,74,296,4,35,94,93
S01003601,622,92,88,322,17,24,54,25
S01003602,548,176,32,201,14,22,22,81
S01003603,668,212,56,261,7,24,57,51
S01003604,642,80,112,333,3,27,49,38
S01003605,537,118,74,242,3,34,43,23
S01003606,753,282,80,244,4,21,39,83
S01003607,431,164,32,146,8,18,23,40
S01003608,467,172,32,169,4,19,31,40
S01003609,872,396,84,241,13,15,49,74
S01003610,785,136,150,362,4,37,65,31
S01003611,697,130,56,250,13,35,102,111
S01003612,740,288,64,234,11,8,47,88
S01003613,1158,592,140,290,13,35,46,42
S01003614,436,184,32,122,3,13,41,41
S01003615,610,188,66,255,8,20,45,28
S01003616,631,368,66,141,9,17,19,11
S01003617,661,98,54,325,10,34,94,46
S01003618,665,274,42,200,4,16,44,85
S01003619,648,112,46,277,15,26,71,101
S01003620,909,360,120,309,20,15,43,42
S01003621,824,264,74,254,7,31,62,132
S01003622,701,258,50,200,9,27,48,109
S01003623,762,416,78,193,7,6,17,45
S01003624,1150,384,134,410,4,57,74,87
S01003625,302,62,46,133,2,9,29,21
S01003626,616,278,69,177,6,26,30,30
S01003627,528,100,58,226,8,33,56,47
S01003628,592,214,38,225,3,19,38,55
S01003629,663,194,50,235,6,33,52,93
S01003630,650,216,46,216,5,22,57,88
S01003631,1040,442,102,279,13,32,58,114
S01003632,783,298,82,280,19,14,34,56
S01003633,1091,298,186,433,8,51,69,46
S01003634,772,256,64,271,6,33,55,87
S01003635,520,84,46,266,11,16,68,29
S01003636,776,194,54,298,12,32,82,104
S01003637,895,282,89,286,7,27,71,133
S01003638,655,214,84,250,5,18,47,37
S01003639,654,264,48,194,6,18,48,76
S01003640,793,206,102,300,5,49,44,87
S01003641,531,280,58,135,1,18,26,13
S01003642,672,252,70,193,7,21,38,91
S01003643,549,162,90,218,8,20,33,18
S01003644,737,198,88,280,12,34,52,73
S01003645,474,158,34,163,5,15,31,68
S01003646,626,100,56,285,46,46,61,32
S01003647,628,226,68,189,7,23,40,75
S01003648,714,130,86,395,6,13,37,47
S01003649,800,356,74,235,9,20,42,64
S01003650,621,138,66,269,8,38,56,46
S01003651,616,184,74,203,8,20,52,75
S01003652,613,140,76,269,4,28,42,54
S01003653,578,176,46,242,7,25,33,49
S01003654,742,244,74,270,5,23,68,58
S01003655,548,146,58,232,3,26,32,51
S01003656,691,170,106,287,7,38,33,50
S01003657,657,196,66,239,8,27,39,82
S01003658,710,308,70,199,3,24,41,65
S01003659,668,192,90,283,4,17,46,36
S01003660,739,428,80,177,5,14,19,16
S01003661,798,328,122,239,7,20,49,33
S01003662,535,164,62,185,10,16,35,63
S01003663,503,112,46,235,8,28,47,27
S01003664,454,120,59,158,8,26,32,51
S01003665,496,76,75,219,15,22,62,27
S01003666,506,124,44,214,4,32,44,44
S01003667,700,346,44,188,4,25,32,61
S01003668,612,210,63,197,4,23,39,76
S01003669,736,258,92,240,7,35,42,62
S01003670,729,178,65,305,5,25,75,76
S01003671,536,184,60,164,9,13,36,70
S01003672,570,136,58,247,5,38,37,49
S01003673,268,62,14,100,4,17,33,38
S01003674,691,234,48,239,8,25,62,75
S01003675,780,254,132,309,6,18,41,20
S01003676,1046,300,212,394,7,22,65,46
S01003677,552,196,50,185,5,24,31,61
S01003678,558,214,42,182,2,17,34,67
S01003679,816,232,68,297,16,46,86,71
S01003680,529,180,48,188,1,20,40,52
S01003681,487,180,40,130,6,17,40,74
S01003682,814,388,96,215,10,18,46,41
S01003683,503,216,38,129,2,22,37,59
S01003684,655,244,62,185,8,24,41,91
S01003685,436,178,42,127,2,15,31,41
S01003686,754,242,60,305,2,48,49,48
S01003687,502,66,68,248,4,21,53,42
S01003688,745,250,76,231,2,26,63,97
S01003689,476,130,48,204,2,19,37,36
S01003690,833,180,72,280,11,50,104,136
S01003691,841,342,94,247,12,35,45,66
S01003692,839,298,104,260,7,30,62,78
S01003693,460,152,44,171,1,18,27,47
S01003694,794,356,70,214,10,29,31,84
S01003695,733,182,88,302,8,38,65,50
S01003696,858,300,112,240,4,31,69,102
S01003697,784,440,70,178,5,14,19,58
S01003698,815,338,72,218,7,25,38,117
S01003699,757,362,90,221,6,19,37,22
S01003700,806,300,92,231,7,33,50,93
S01003701,864,186,116,352,8,35,92,75
S01003702,583,134,90,248,4,33,37,37
S01003703,757,203,106,267,3,32,76,70
S01003704,547,126,58,218,7,24,52,62
S01003705,633,130,84,286,5,28,69,31
S01003706,526,110,62,268,6,22,30,28
S01003707,747,206,92,324,3,36,51,35
S01003708,691,122,96,336,4,37,59,37
S01003709,640,102,58,319,8,28,69,56
S01003710,934,282,94,369,9,49,72,59
S01003711,693,122,70,344,3,38,83,33
S01003712,728,218,92,265,2,35,55,61
S01003713,367,90,44,147,3,18,29,36
S01003714,467,174,46,183,-,8,37,19
S01003715,612,216,86,201,3,30,53,23
S01003716,425,84,34,193,1,26,48,39
S01003717,642,148,84,283,3,27,51,46
S01003718,552,160,84,223,4,23,40,18
S01003719,513,310,44,89,9,6,24,31
S01003720,793,398,102,153,11,13,50,66
S01003721,648,302,88,148,5,12,39,54
S01003722,735,290,100,160,5,28,61,91
S01003723,450,272,46,85,4,4,16,23
S01003724,594,252,86,142,4,15,49,46
S01003725,462,234,50,95,6,17,26,34
S01003726,543,230,80,148,6,15,32,32
S01003727,568,278,64,143,4,13,42,24
S01003728,453,222,66,96,8,9,23,29
S01003729,675,272,92,209,6,11,44,41
S01003730,457,168,88,123,3,15,36,24
S01003731,478,180,63,151,2,8,39,35
S01003732,755,346,120,147,7,14,43,78
S01003733,669,272,82,166,8,19,67,55
S01003734,558,260,68,122,7,16,31,54
S01003735,653,352,58,124,2,11,36,70
S01003736,662,304,84,142,8,20,43,61
S01003737,501,224,56,106,9,4,40,62
S01003738,608,358,68,104,5,5,30,38
S01003739,433,228,56,71,8,15,23,32
S01003740,496,282,36,111,3,4,27,33
S01003741,776,434,98,159,6,9,29,41
S01003742,571,326,56,118,6,9,21,35
S01003743,457,262,54,84,2,9,14,32
S01003744,532,310,64,81,5,7,23,42
S01003745,641,292,68,175,3,18,41,44
S01003746,682,356,60,154,11,11,42,48
S01003747,906,482,98,168,8,14,47,89
S01003748,488,248,46,97,3,13,27,54
S01003749,703,356,82,146,6,15,46,52
S01003750,556,318,54,94,9,17,37,27
S01003751,859,356,175,200,11,22,46,49
S01003752,704,392,64,144,5,16,39,44
S01003753,925,496,128,153,7,13,44,84
S01003754,695,282,114,159,2,18,54,66
S01003755,1168,480,198,322,8,27,72,61
S01003756,730,412,68,138,8,19,35,50
S01003757,485,254,58,89,8,5,28,43
S01003758,772,402,90,128,10,23,61,58
S01003759,538,272,72,109,9,11,25,40
S01003760,687,394,80,122,6,14,39,32
S01003761,754,396,80,161,11,21,39,46
S01003762,874,494,100,165,5,16,36,58
S01003763,740,340,114,156,7,20,51,52
S01003764,678,348,76,131,3,18,43,59
S01003765,531,210,48,148,9,18,40,58
S01003766,577,278,70,106,6,23,30,64
S01003767,631,290,90,125,12,13,39,62
S01003768,533,308,62,100,2,8,22,31
S01003769,764,390,96,126,9,16,50,77
S01003770,678,390,84,125,8,10,27,34
S01003771,619,338,88,119,3,9,29,33
S01003772,502,294,56,93,4,9,17,29
S01003773,567,308,60,112,6,16,26,39
S01003774,596,316,52,124,12,9,42,41
S01003775,724,414,82,120,6,13,33,56
S01003776,568,332,62,107,10,12,25,20
S01003777,898,542,86,164,10,21,31,44
S01003778,2351,1158,468,505,13,70,94,43
S01003779,418,256,22,73,4,13,13,37
S01003780,794,498,62,158,4,12,29,31
S01003781,923,486,114,213,10,19,41,40
S01003782,514,304,64,84,4,17,23,18
S01003783,966,460,134,231,6,32,74,29
S01003784,1265,808,94,206,12,22,60,63
S01003785,697,374,76,150,6,10,26,55
S01003786,765,448,50,156,12,4,26,69
S01003787,521,312,43,103,4,7,16,36
S01003788,572,352,42,88,1,9,30,50
S01003789,393,246,28,71,3,5,21,19
S01003790,452,152,76,142,2,12,37,31
S01003791,658,256,112,185,9,24,56,16
S01003792,1695,780,304,396,16,41,103,55
S01003793,443,148,58,125,2,24,55,31
S01003794,565,296,56,97,8,10,32,66
S01003795,544,324,50,98,6,10,21,35
S01003796,503,136,54,189,6,23,62,33
S01003797,779,276,96,240,4,22,73,68
S01003798,695,386,72,143,7,12,25,50
S01003799,633,350,70,147,1,9,34,22
S01003800,521,220,52,116,6,19,50,58
S01003801,659,272,104,160,7,15,45,56
S01003802,620,338,68,130,7,14,32,31
S01003803,602,348,56,119,6,12,25,36
S01003804,504,190,82,141,3,16,52,20
S01003805,981,300,172,338,9,31,65,66
S01003806,602,256,54,151,3,19,48,71
S01003807,737,414,74,159,7,13,30,40
S01003808,678,290,88,188,-,19,52,41
S01003809,557,240,60,138,2,16,54,47
S01003810,704,424,42,119,6,9,35,69
S01003811,588,354,62,105,4,6,21,36
S01003812,803,276,109,218,3,32,73,92
S01003813,731,382,78,169,3,7,38,54
S01003814,662,408,38,127,3,5,18,63
S01003815,669,228,88,228,14,11,54,46
S01003816,810,458,94,148,3,19,36,52
S01003817,814,260,108,240,9,22,81,94
S01003818,641,234,76,179,9,14,69,60
S01003819,1816,990,312,331,12,36,72,63
S01003820,789,256,108,272,13,20,38,82
S01003821,638,240,72,192,1,20,75,38
S01003822,441,206,40,115,4,11,34,31
S01003823,749,322,68,192,8,23,55,81
S01003824,703,192,122,273,6,27,50,33
S01003825,554,388,30,86,5,20,14,11
S01003826,595,258,82,146,6,20,40,43
S01003827,683,300,96,172,2,15,45,53
S01003828,874,484,114,168,10,14,38,46
S01003829,535,206,64,161,6,9,41,48
S01003830,691,256,88,200,3,21,84,39
S01003831,534,228,86,131,3,9,41,36
S01003832,763,328,112,217,7,12,49,38
S01003833,491,102,70,181,8,26,57,47
S01003834,561,258,62,152,1,9,48,31
S01003835,476,208,80,116,2,11,32,27
S01003836,464,164,88,140,6,12,35,19
S01003837,690,256,80,182,6,14,53,99
S01003838,461,214,52,144,-,9,27,15
S01003839,520,146,68,188,5,16,50,47
S01003840,553,254,62,149,4,11,31,42
S01003841,532,292,64,83,6,9,31,47
S01003842,614,350,52,123,7,14,30,38
S01003843,777,504,48,133,6,18,22,46
S01003844,631,332,70,143,1,16,25,44
S01003845,933,262,180,302,12,27,91,59
S01003846,666,382,70,94,5,13,32,70
S01003847,509,226,54,125,1,9,37,57
S01003848,577,328,46,131,5,8,30,29
S01003849,782,166,168,258,9,37,89,55
S01003850,423,210,48,107,4,14,27,13
S01003851,680,426,56,117,5,5,21,50
S01003852,482,224,76,84,1,13,26,58
S01003853,1059,160,264,457,20,43,85,30
S01003854,508,186,90,116,3,12,39,62
S01003855,736,216,100,261,11,27,61,60
S01003856,613,196,118,191,3,19,62,24
S01003857,630,368,52,117,3,12,33,45
S01003858,426,196,52,108,2,14,26,28
S01003859,473,300,44,71,6,4,21,27
S01003860,508,116,68,194,1,29,67,33
S01003861,655,256,110,171,2,16,60,40
S01003862,520,144,106,188,1,18,46,17
S01003863,577,382,32,90,3,5,22,43
S01003864,794,438,78,145,2,24,36,71
S01003865,770,424,108,144,4,19,41,30
S01003866,773,484,56,135,9,13,37,39
S01003867,1062,532,114,235,6,23,74,78
S01003868,600,364,48,121,5,8,18,36
S01003869,599,284,76,132,10,15,44,38
S01003870,842,454,106,174,3,11,41,53
S01003871,669,400,50,112,5,14,26,62
S01003872,760,436,84,147,2,14,25,52
S01003873,873,500,90,161,6,20,31,65
S01003874,603,334,76,116,2,9,39,27
S01003875,572,348,66,70,7,6,26,49
S01003876,590,364,56,129,5,8,11,17
S01003877,581,352,57,114,3,9,11,35
S01003878,860,356,114,220,3,30,66,71
S01003879,618,402,36,94,5,9,16,56
S01003880,710,340,78,165,7,14,47,59
S01003881,706,416,73,115,6,17,27,52
S01003882,442,164,38,126,2,5,61,46
S01003883,447,222,44,106,1,10,26,38
S01003884,610,266,76,161,3,13,36,55
S01003885,543,270,54,123,2,8,34,52
S01003886,415,168,64,104,2,10,31,36
S01003887,705,264,94,179,12,23,58,75
S01003888,1214,786,122,172,5,22,62,45
S01003889,463,204,56,114,3,11,23,52
S01003890,564,328,46,107,4,11,24,44
S01003891,623,354,48,128,3,11,26,53
S01003892,510,240,50,110,7,22,28,53
S01003893,544,302,66,81,8,15,36,36
S01003894,765,278,132,193,11,24,74,53
S01003895,591,314,78,115,1,11,21,51
S01003896,577,350,58,87,2,5,20,55
S01003897,626,346,38,120,5,2,37,78
S01003898,611,372,32,84,7,5,32,79
S01003899,669,348,70,124,4,20,40,63
S01003900,637,236,96,124,14,22,76,69
S01003901,518,268,58,99,4,10,30,49
S01003902,772,400,109,162,5,21,28,47
S01003903,710,434,68,131,3,14,27,33
S01003904,728,232,130,210,11,22,58,65
S01003905,946,624,76,156,3,13,25,49
S01003906,588,252,70,133,3,18,59,53
S01003907,613,192,88,167,6,16,71,73
S01003908,633,274,116,140,4,10,46,43
S01003909,539,314,46,109,1,6,17,46
S01003910,556,254,78,144,2,10,36,32
S01003911,515,294,28,107,9,8,23,46
S01003912,755,416,78,168,8,13,37,35
S01003913,597,342,60,127,2,13,29,24
S01003914,814,456,86,162,13,6,24,67
S01003915,603,298,72,121,7,27,29,49
S01003916,698,424,54,135,5,10,29,41
S01003917,737,368,80,165,1,24,42,57
S01003918,764,384,112,156,3,16,44,49
S01003919,529,212,62,130,2,15,52,56
S01003920,571,258,92,126,4,18,31,42
S01003921,863,408,100,176,13,16,60,90
S01003922,680,256,106,194,4,24,55,41
S01003923,531,216,76,148,1,14,42,34
S01003924,387,106,46,135,2,17,42,39
S01003925,628,282,98,155,4,12,35,42
S01003926,437,154,68,123,7,15,37,33
S01003927,580,330,56,111,3,13,28,39
S01003928,651,284,72,175,10,27,51,32
S01003929,458,224,50,104,3,10,25,42
S01003930,695,298,126,155,3,26,46,41
S01003931,874,430,140,184,4,15,46,55
S01003932,702,400,70,135,5,8,27,57
S01003933,574,316,52,116,6,9,27,48
S01003934,842,424,126,167,5,19,44,57
S01003935,660,314,58,164,2,18,64,40
S01003936,833,502,92,139,4,12,35,49
S01003937,583,236,80,139,4,21,52,51
S01003938,491,272,64,94,4,11,26,20
S01003939,540,334,64,73,5,10,21,33
S01003940,799,366,110,217,2,17,51,36
S01003941,504,298,44,96,1,10,18,37
S01003942,584,242,82,144,7,23,41,45
S01003943,572,240,58,127,8,19,49,71
S01003944,522,236,71,126,4,4,32,49
S01003945,542,326,44,99,1,13,10,49
S01003946,668,368,66,124,13,12,32,53
S01003947,526,304,56,90,3,12,21,40
S01003948,620,350,76,99,11,19,22,43
S01003949,500,260,74,93,5,17,19,32
S01003950,494,214,48,134,10,11,30,47
S01003951,498,254,46,77,3,11,36,71
S01003952,434,232,52,82,8,10,22,28
S01003953,497,282,36,90,6,7,29,47
S01003954,579,312,48,116,4,8,40,51
S01003955,536,224,74,105,2,16,49,66
S01003956,563,268,79,132,2,14,39,29
S01003957,544,258,60,123,6,18,30,49
S01003958,648,308,76,134,7,17,34,72
S01003959,655,372,60,99,5,18,38,63
S01003960,705,368,84,138,3,12,46,54
S01003961,490,232,50,107,4,9,34,54
S01003962,582,264,67,117,6,23,48,57
S01003963,395,244,26,65,2,4,29,25
S01003964,424,264,32,72,4,9,12,31
S01003965,497,278,40,87,10,16,28,38
S01003966,851,450,96,159,7,17,44,78
S01003967,449,220,48,102,2,16,25,36
S01003968,749,362,64,155,4,19,53,92
S01003969,672,356,62,142,3,13,44,52
S01003970,526,270,32,116,10,16,40,42
S01003971,590,268,72,125,6,21,39,59
S01003972,651,366,68,123,5,18,31,40
S01003973,369,192,40,76,3,10,21,27
S01003974,738,382,78,153,8,21,32,64
S01003975,680,386,102,121,2,11,23,35
S01003976,612,250,70,168,5,19,47,53
S01003977,371,108,56,131,1,11,38,26
S01003978,431,148,56,130,1,6,30,60
S01003979,471,224,50,107,3,8,28,51
S01003980,526,298,84,95,-,8,19,22
S01003981,452,202,44,118,3,11,26,48
S01003982,644,318,78,159,2,6,39,42
S01003983,580,332,54,109,7,14,17,47
S01003984,481,204,64,108,10,10,34,51
S01003985,582,198,92,164,6,10,46,66
S01003986,464,174,60,129,2,10,45,44
S01003987,500,280,50,104,1,14,24,27
S01003988,420,196,40,105,1,11,27,40
S01003989,733,434,72,139,2,10,29,47
S01003990,427,203,44,94,1,12,33,40
S01003991,506,262,68,94,5,13,28,36
S01003992,821,450,93,155,6,23,32,62
S01003993,552,336,43,99,4,8,26,36
S01003994,590,322,66,129,4,13,21,35
S01003995,1068,630,116,200,2,22,37,61
S01003996,530,312,56,90,2,12,25,33
S01003997,741,254,106,233,4,28,52,64
S01003998,475,208,82,116,2,10,24,33
S01003999,705,356,70,170,7,12,44,46
S01004000,603,290,66,137,5,7,38,60
S01004001,490,214,62,136,1,21,24,32
S01004002,812,292,106,199,9,40,58,108
S01004003,450,238,52,84,3,10,32,31
S01004004,608,256,92,147,1,20,39,53
S01004005,497,266,30,107,2,10,31,51
S01004006,422,240,46,72,1,8,30,25
S01004007,477,182,44,151,7,12,35,46
S01004008,568,334,40,109,6,9,24,46
S01004009,628,332,88,137,3,12,21,35
S01004010,718,430,74,113,3,11,41,46
S01004011,1034,694,32,196,7,18,38,49
S01004012,620,362,34,137,3,18,25,41
S01004013,420,262,26,78,3,9,18,24
S01004014,523,296,18,82,6,10,33,78
S01004015,712,460,34,128,6,15,31,38
S01004016,491,312,36,102,-,3,24,14
S01004017,826,456,44,140,11,19,61,95
S01004018,637,404,46,141,-,9,17,20
S01004019,774,510,68,119,5,14,31,27
S01004020,676,364,60,135,8,10,38,61
S01004021,872,580,46,163,8,11,37,27
S01004022,710,350,66,159,8,16,51,60
S01004023,476,238,40,125,1,9,32,31
S01004024,788,396,106,213,5,18,22,28
S01004025,678,236,68,242,3,16,53,60
S01004026,512,212,40,153,1,13,39,54
S01004027,649,290,32,205,5,15,46,56
S01004028,561,236,38,181,1,28,42,35
S01004029,729,306,68,217,1,14,59,64
S01004030,516,182,36,191,3,24,37,43
S01004031,461,208,30,132,2,15,23,51
S01004032,306,104,20,115,3,12,35,17
S01004033,677,266,36,235,3,21,52,64
S01004034,592,304,40,172,2,13,30,31
S01004035,609,266,52,168,7,16,25,75
S01004036,521,206,48,170,4,12,36,45
S01004037,539,254,54,143,1,21,35,31
S01004038,571,242,40,187,3,17,34,48
S01004039,295,88,26,103,-,15,31,32
S01004040,537,260,32,162,5,16,28,34
S01004041,558,222,44,174,3,28,46,41
S01004042,486,120,32,221,-,25,58,30
S01004043,613,300,72,182,3,11,23,22
S01004044,593,186,36,206,4,17,59,85
S01004045,505,174,38,202,2,9,31,49
S01004046,495,116,32,164,4,19,65,95
S01004047,508,166,62,199,3,22,34,22
S01004048,832,294,94,302,2,25,61,54
S01004049,1053,536,132,242,6,29,40,68
S01004050,351,110,30,138,2,16,26,29
S01004051,670,198,74,257,1,20,61,59
S01004052,436,134,48,181,-,22,34,17
S01004053,825,340,78,246,7,23,61,70
S01004054,726,338,68,200,4,21,39,56
S01004055,457,236,22,142,1,14,19,23
S01004056,612,278,50,175,1,10,43,55
S01004057,1235,452,164,442,6,44,71,56
S01004058,701,240,86,245,2,30,52,46
S01004059,444,144,38,163,2,13,35,49
S01004060,385,146,26,135,4,16,26,32
S01004061,667,214,40,241,6,26,63,77
S01004062,704,350,38,218,8,12,39,39
S01004063,541,124,46,206,3,28,75,59
S01004064,542,250,34,153,1,5,25,74
S01004065,766,176,82,320,2,31,88,67
S01004066,449,188,42,136,2,15,21,45
S01004067,705,324,76,207,1,9,42,46
S01004068,582,172,31,221,1,28,68,61
S01004069,399,106,54,149,1,19,45,25
S01004070,487,142,92,169,2,12,40,30
S01004071,721,260,54,216,2,28,72,89
S01004072,836,354,60,224,5,25,46,122
S01004073,592,192,48,248,3,24,42,35
S01004074,640,216,52,236,2,18,59,57
S01004075,390,82,28,143,3,29,52,53
S01004076,528,236,36,167,4,14,39,32
S01004077,644,310,52,206,3,18,27,28
S01004078,682,218,88,237,1,25,56,57
S01004079,519,170,36,209,3,16,49,36
S01004080,707,194,50,263,4,12,87,97
S01004081,518,298,42,124,3,7,29,15
S01004082,863,546,54,177,7,8,30,41
S01004083,715,192,46,302,7,23,85,60
S01004084,809,212,82,245,3,26,137,104
S01004085,472,106,56,198,3,17,46,46
S01004086,713,156,64,221,12,22,87,151
S01004087,357,140,40,120,1,7,28,21
S01004088,391,124,54,133,1,11,33,35
S01004089,592,224,54,191,1,14,49,59
S01004090,257,70,14,117,1,13,17,25
S01004091,792,306,70,269,1,24,73,49
S01004092,608,150,86,238,4,23,57,50
S01004093,497,86,40,165,3,28,64,111
S01004094,362,74,18,147,1,13,37,72
S01004095,426,156,50,135,1,14,36,34
S01004096,576,368,22,128,1,5,17,35
S01004097,586,228,28,199,7,24,44,56
S01004098,528,310,24,129,6,1,22,36
S01004099,670,422,42,126,1,8,24,47
S01004100,620,226,54,238,3,20,47,32
S01004101,624,214,58,205,6,25,64,52
S01004102,632,290,50,203,5,17,35,32
S01004103,560,290,26,140,1,9,30,64
S01004104,632,352,34,170,6,7,13,50
S01004105,664,306,70,179,4,6,42,57
S01004106,714,298,54,220,3,15,47,77
S01004107,571,336,34,123,4,12,19,43
S01004108,624,338,38,153,-,14,28,53
S01004109,487,302,14,112,1,9,18,31
S01004110,663,254,60,180,7,24,47,91
S01004111,669,316,60,167,6,15,53,52
S01004112,606,322,54,153,4,7,21,45
S01004113,593,272,42,146,2,11,50,70
S01004114,582,182,54,179,2,13,64,88
S01004115,578,320,26,112,6,9,25,80
S01004116,549,298,34,138,6,7,18,48
S01004117,657,272,78,182,7,16,48,54
S01004118,808,192,68,262,10,37,106,133
S01004119,448,146,46,129,2,12,41,72
S01004120,636,366,32,138,9,3,18,70
S01004121,370,200,34,74,7,12,18,25
S01004122,710,442,94,107,2,11,22,32
S01004123,692,380,120,122,2,14,32,22
S01004124,827,490,104,153,2,14,25,39
S01004125,574,314,44,106,7,11,28,64
S01004126,620,216,86,151,10,16,64,77
S01004127,716,488,26,139,5,7,19,32
S01004128,587,404,24,103,1,7,13,35
S01004129,627,340,60,134,1,13,34,45
S01004130,421,226,58,90,2,10,17,18
S01004131,636,218,74,197,3,20,66,58
S01004132,440,188,52,103,4,9,48,36
S01004133,673,298,82,167,4,19,37,66
S01004134,563,384,28,85,2,8,23,33
S01004135,480,158,72,138,3,15,50,44
S01004136,486,212,60,130,1,12,45,26
S01004137,479,302,30,82,4,10,18,33
S01004138,568,224,70,184,2,25,34,29
S01004139,467,220,50,118,6,11,37,25
